sequence_id	direction_group	outcome	group
10003_15	negative	BMI	Female
10008_43	positive	BMI	Female
10012_5	negative	BMI	Female
10014_31	negative	BMI	Female
10023_32	negative	BMI	Female
10024_44	negative	BMI	Female
10041_3	positive	BMI	Female
10044_12	negative	BMI	Female
10046_55	positive	BMI	Female
10064_12	negative	BMI	Female
10073_22	negative	BMI	Female
10081_17	negative	BMI	Female
10082_251	positive	BMI	Female
10085_25	positive	BMI	Female
10344_334	negative	BMI	Female
10346_5	positive	BMI	Female
10356_21	negative	BMI	Female
10366_11	positive	BMI	Female
10390_21	positive	BMI	Female
10391_1	positive	BMI	Female
10418_36	negative	BMI	Female
10419_1	positive	BMI	Female
10426_21	negative	BMI	Female
10428_1	positive	BMI	Female
10430_31	negative	BMI	Female
10442_1	positive	BMI	Female
10445_20	positive	BMI	Female
10449_31	negative	BMI	Female
10451_11	positive	BMI	Female
10453_7	negative	BMI	Female
10455_196	positive	BMI	Female
10464_6	negative	BMI	Female
10507_166	negative	BMI	Female
10514_5	negative	BMI	Female
10521_10	negative	BMI	Female
10527_22	negative	BMI	Female
10530_8	negative	BMI	Female
10539_30	negative	BMI	Female
10546_2	negative	BMI	Female
10550_37	negative	BMI	Female
10552_88	positive	BMI	Female
10554_23	negative	BMI	Female
10557_6	positive	BMI	Female
10558_26	positive	BMI	Female
10561_5	negative	BMI	Female
10569_28	positive	BMI	Female
10571_14	negative	BMI	Female
10574_10	positive	BMI	Female
10582_36	negative	BMI	Female
10584_7	positive	BMI	Female
10600_24	positive	BMI	Female
10603_1	negative	BMI	Female
10613_33	positive	BMI	Female
10620_21	negative	BMI	Female
10621_26	positive	BMI	Female
10630_5	negative	BMI	Female
10643_16	negative	BMI	Female
10647_18	negative	BMI	Female
10675_223	negative	BMI	Female
10702_1	positive	BMI	Female
10703_203	negative	BMI	Female
10714_7	positive	BMI	Female
10731_10	positive	BMI	Female
10734_339	negative	BMI	Female
10748_216	negative	BMI	Female
10752_8	positive	BMI	Female
10753_31	positive	BMI	Female
10758_2	positive	BMI	Female
10762_2	positive	BMI	Female
10772_21	negative	BMI	Female
10781_19	positive	BMI	Female
10800_15	negative	BMI	Female
10814_7	negative	BMI	Female
10816_150	negative	BMI	Female
10817_26	negative	BMI	Female
10818_36	negative	BMI	Female
10833_64	negative	BMI	Female
10847_1	negative	BMI	Female
10848_137	negative	BMI	Female
10851_77	positive	BMI	Female
10866_60	positive	BMI	Female
10882_12	negative	BMI	Female
10885_36	negative	BMI	Female
10889_2	positive	BMI	Female
10890_135	negative	BMI	Female
10892_8	negative	BMI	Female
10895_28	negative	BMI	Female
10902_53	negative	BMI	Female
10908_2	positive	BMI	Female
10910_6	negative	BMI	Female
10916_44	negative	BMI	Female
10924_258	negative	BMI	Female
10933_107	negative	BMI	Female
10940_25	positive	BMI	Female
10945_11	negative	BMI	Female
10955_4	negative	BMI	Female
10959_125	negative	BMI	Female
10961_15	positive	BMI	Female
10974_20	negative	BMI	Female
10975_59	negative	BMI	Female
10977_55	negative	BMI	Female
11103_24	positive	BMI	Female
11104_13	negative	BMI	Female
11110_4	negative	BMI	Female
11116_16	positive	BMI	Female
11118_107	negative	BMI	Female
11129_66	negative	BMI	Female
11130_158	positive	BMI	Female
11137_43	negative	BMI	Female
11142_11	negative	BMI	Female
11143_32	negative	BMI	Female
11145_72	positive	BMI	Female
11152_46	negative	BMI	Female
11158_40	negative	BMI	Female
11161_5	positive	BMI	Female
11164_7	negative	BMI	Female
11167_6	negative	BMI	Female
11180_17	negative	BMI	Female
11185_145	negative	BMI	Female
11187_11	positive	BMI	Female
11192_168	positive	BMI	Female
11198_37	negative	BMI	Female
11208_15	negative	BMI	Female
11211_7	positive	BMI	Female
11212_7	negative	BMI	Female
11214_40	negative	BMI	Female
11218_84	negative	BMI	Female
11219_95	negative	BMI	Female
11223_1	positive	BMI	Female
11226_16	positive	BMI	Female
11228_37	negative	BMI	Female
11239_49	positive	BMI	Female
