sequence_id	direction_group	outcome	group
10000_28	negative	BMI	Sex-combined
10003_15	negative	BMI	Sex-combined
10008_43	positive	BMI	Sex-combined
10012_5	negative	BMI	Sex-combined
10014_31	negative	BMI	Sex-combined
10024_44	negative	BMI	Sex-combined
10041_3	positive	BMI	Sex-combined
10044_12	negative	BMI	Sex-combined
10046_55	positive	BMI	Sex-combined
10047_12	negative	BMI	Sex-combined
10048_7	negative	BMI	Sex-combined
10064_12	negative	BMI	Sex-combined
10073_22	positive	BMI	Sex-combined
10081_17	negative	BMI	Sex-combined
10082_251	positive	BMI	Sex-combined
10339_48	positive	BMI	Sex-combined
10344_334	negative	BMI	Sex-combined
10356_21	negative	BMI	Sex-combined
10390_21	positive	BMI	Sex-combined
10418_36	negative	BMI	Sex-combined
10426_21	negative	BMI	Sex-combined
10428_1	positive	BMI	Sex-combined
10430_31	negative	BMI	Sex-combined
10445_20	positive	BMI	Sex-combined
10449_31	negative	BMI	Sex-combined
10451_11	positive	BMI	Sex-combined
10453_7	negative	BMI	Sex-combined
10455_196	positive	BMI	Sex-combined
10507_166	negative	BMI	Sex-combined
10512_13	positive	BMI	Sex-combined
10521_10	negative	BMI	Sex-combined
10527_22	negative	BMI	Sex-combined
10530_8	negative	BMI	Sex-combined
10539_30	negative	BMI	Sex-combined
10546_2	negative	BMI	Sex-combined
10550_37	negative	BMI	Sex-combined
10552_88	positive	BMI	Sex-combined
10554_23	negative	BMI	Sex-combined
10557_6	positive	BMI	Sex-combined
10569_28	positive	BMI	Sex-combined
10571_14	negative	BMI	Sex-combined
10572_65	negative	BMI	Sex-combined
10574_10	positive	BMI	Sex-combined
10582_36	negative	BMI	Sex-combined
10584_7	positive	BMI	Sex-combined
10600_24	positive	BMI	Sex-combined
10606_34	negative	BMI	Sex-combined
10613_33	positive	BMI	Sex-combined
10615_18	positive	BMI	Sex-combined
10621_26	positive	BMI	Sex-combined
10630_5	negative	BMI	Sex-combined
10647_18	negative	BMI	Sex-combined
10672_75	negative	BMI	Sex-combined
10675_223	negative	BMI	Sex-combined
10677_9	positive	BMI	Sex-combined
10693_43	positive	BMI	Sex-combined
10702_1	positive	BMI	Sex-combined
10703_203	negative	BMI	Sex-combined
10708_3	positive	BMI	Sex-combined
10714_7	positive	BMI	Sex-combined
10731_10	positive	BMI	Sex-combined
10734_339	negative	BMI	Sex-combined
10748_216	negative	BMI	Sex-combined
10752_8	positive	BMI	Sex-combined
10753_31	positive	BMI	Sex-combined
10758_2	positive	BMI	Sex-combined
10762_2	positive	BMI	Sex-combined
10772_21	negative	BMI	Sex-combined
10781_19	positive	BMI	Sex-combined
10800_15	negative	BMI	Sex-combined
10814_7	negative	BMI	Sex-combined
10817_26	negative	BMI	Sex-combined
10833_64	negative	BMI	Sex-combined
10847_1	negative	BMI	Sex-combined
10848_137	negative	BMI	Sex-combined
10866_60	positive	BMI	Sex-combined
10882_12	negative	BMI	Sex-combined
10885_36	negative	BMI	Sex-combined
10890_135	negative	BMI	Sex-combined
10892_8	negative	BMI	Sex-combined
10895_28	negative	BMI	Sex-combined
10902_53	negative	BMI	Sex-combined
10903_50	negative	BMI	Sex-combined
10908_2	positive	BMI	Sex-combined
10910_6	negative	BMI	Sex-combined
10916_44	negative	BMI	Sex-combined
10924_258	negative	BMI	Sex-combined
10933_107	negative	BMI	Sex-combined
10938_13	negative	BMI	Sex-combined
10945_11	negative	BMI	Sex-combined
10955_4	negative	BMI	Sex-combined
10959_125	negative	BMI	Sex-combined
10961_15	positive	BMI	Sex-combined
10974_20	negative	BMI	Sex-combined
10975_59	negative	BMI	Sex-combined
11094_104	negative	BMI	Sex-combined
11103_24	positive	BMI	Sex-combined
11104_13	negative	BMI	Sex-combined
11110_4	negative	BMI	Sex-combined
11116_16	positive	BMI	Sex-combined
11118_107	negative	BMI	Sex-combined
11120_49	negative	BMI	Sex-combined
11128_29	negative	BMI	Sex-combined
11129_66	negative	BMI	Sex-combined
11130_158	positive	BMI	Sex-combined
11137_43	negative	BMI	Sex-combined
11142_11	negative	BMI	Sex-combined
11143_32	negative	BMI	Sex-combined
11145_72	negative	BMI	Sex-combined
11158_40	negative	BMI	Sex-combined
11160_56	positive	BMI	Sex-combined
11161_5	positive	BMI	Sex-combined
11164_7	negative	BMI	Sex-combined
11173_29	positive	BMI	Sex-combined
11177_16	negative	BMI	Sex-combined
11180_17	negative	BMI	Sex-combined
11185_145	negative	BMI	Sex-combined
11198_37	negative	BMI	Sex-combined
11207_3	negative	BMI	Sex-combined
11212_7	negative	BMI	Sex-combined
11214_40	negative	BMI	Sex-combined
11215_6	positive	BMI	Sex-combined
11218_84	negative	BMI	Sex-combined
11219_95	negative	BMI	Sex-combined
11223_1	positive	BMI	Sex-combined
11226_16	positive	BMI	Sex-combined
11228_37	negative	BMI	Sex-combined
11239_49	positive	BMI	Sex-combined
11247_20	negative	BMI	Sex-combined
11248_43	positive	BMI	Sex-combined
11252_30	negative	BMI	Sex-combined
11254_13	negative	BMI	Sex-combined
11257_1	positive	BMI	Sex-combined
11273_176	negative	BMI	Sex-combined
11275_94	negative	BMI	Sex-combined
11278_4	positive	BMI	Sex-combined
11281_6	negative	BMI	Sex-combined
11283_13	negative	BMI	Sex-combined
11287_14	positive	BMI	Sex-combined
11288_26	positive	BMI	Sex-combined
11292_13	negative	BMI	Sex-combined
11293_14	negative	BMI	Sex-combined
11308_8	positive	BMI	Sex-combined
11312_40	negative	BMI	Sex-combined
11315_148	negative	BMI	Sex-combined
11347_9	positive	BMI	Sex-combined
11348_132	positive	BMI	Sex-combined
11355_10	positive	BMI	Sex-combined
11360_39	negative	BMI	Sex-combined
11369_23	positive	BMI	Sex-combined
11370_20	negative	BMI	Sex-combined
11372_2	negative	BMI	Sex-combined
11377_19	negative	BMI	Sex-combined
11380_84	negative	BMI	Sex-combined
11383_41	negative	BMI	Sex-combined
11387_3	negative	BMI	Sex-combined
11390_24	positive	BMI	Sex-combined
11391_69	positive	BMI	Sex-combined
11396_39	negative	BMI	Sex-combined
11405_150	negative	BMI	Sex-combined
11416_23	positive	BMI	Sex-combined
11421_10	positive	BMI	Sex-combined
11425_31	negative	BMI	Sex-combined
11429_80	negative	BMI	Sex-combined
11431_235	negative	BMI	Sex-combined
11432_11	negative	BMI	Sex-combined
11433_11	negative	BMI	Sex-combined
11439_88	negative	BMI	Sex-combined
11454_87	positive	BMI	Sex-combined
11456_2	negative	BMI	Sex-combined
11457_53	positive	BMI	Sex-combined
11459_81	negative	BMI	Sex-combined
11464_9	negative	BMI	Sex-combined
11468_15	negative	BMI	Sex-combined
11510_31	positive	BMI	Sex-combined
11513_92	negative	BMI	Sex-combined
11514_196	positive	BMI	Sex-combined
11534_6	positive	BMI	Sex-combined
11537_12	negative	BMI	Sex-combined
11539_4	negative	BMI	Sex-combined
11540_37	negative	BMI	Sex-combined
11543_84	negative	BMI	Sex-combined
11551_16	positive	BMI	Sex-combined
11560_76	negative	BMI	Sex-combined
11570_94	negative	BMI	Sex-combined
11587_5	positive	BMI	Sex-combined
11615_16	negative	BMI	Sex-combined
11633_89	negative	BMI	Sex-combined
11638_42	negative	BMI	Sex-combined
11643_73	negative	BMI	Sex-combined
11646_4	negative	BMI	Sex-combined
11647_6	negative	BMI	Sex-combined
11649_3	positive	BMI	Sex-combined
11656_110	negative	BMI	Sex-combined
11659_31	negative	BMI	Sex-combined
11666_72	negative	BMI	Sex-combined
11672_17	negative	BMI	Sex-combined
11682_7	negative	BMI	Sex-combined
11825_27	negative	BMI	Sex-combined
11838_130	negative	BMI	Sex-combined
11926_23	positive	BMI	Sex-combined
11952_1	negative	BMI	Sex-combined
11955_1	positive	BMI	Sex-combined
11967_23	negative	BMI	Sex-combined
11969_5	negative	BMI	Sex-combined
11988_24	negative	BMI	Sex-combined
11989_35	negative	BMI	Sex-combined
12001_7	negative	BMI	Sex-combined
12030_82	negative	BMI	Sex-combined
12033_3	negative	BMI	Sex-combined
12046_51	negative	BMI	Sex-combined
12329_21	negative	BMI	Sex-combined
12332_7	positive	BMI	Sex-combined
12338_27	negative	BMI	Sex-combined
12345_4	negative	BMI	Sex-combined
12347_29	positive	BMI	Sex-combined
12361_102	negative	BMI	Sex-combined
12370_30	positive	BMI	Sex-combined
12378_71	positive	BMI	Sex-combined
12381_26	negative	BMI	Sex-combined
12382_2	positive	BMI	Sex-combined
12384_92	negative	BMI	Sex-combined
12385_4	negative	BMI	Sex-combined
12386_11	negative	BMI	Sex-combined
12389_4	negative	BMI	Sex-combined
12391_27	negative	BMI	Sex-combined
12392_30	positive	BMI	Sex-combined
12396_19	negative	BMI	Sex-combined
12399_194	positive	BMI	Sex-combined
12401_3	negative	BMI	Sex-combined
12403_30	negative	BMI	Sex-combined
12415_122	negative	BMI	Sex-combined
12417_46	positive	BMI	Sex-combined
12420_10	negative	BMI	Sex-combined
12431_13	negative	BMI	Sex-combined
12432_23	negative	BMI	Sex-combined
12436_84	positive	BMI	Sex-combined
12437_18	negative	BMI	Sex-combined
12445_50	negative	BMI	Sex-combined
12450_42	positive	BMI	Sex-combined
12451_62	negative	BMI	Sex-combined
12452_32	negative	BMI	Sex-combined
12456_5	negative	BMI	Sex-combined
12460_18	positive	BMI	Sex-combined
12463_7	negative	BMI	Sex-combined
12475_48	positive	BMI	Sex-combined
12479_50	negative	BMI	Sex-combined
12480_9	negative	BMI	Sex-combined
12484_67	negative	BMI	Sex-combined
12486_8	negative	BMI	Sex-combined
12493_42	negative	BMI	Sex-combined
12498_12	positive	BMI	Sex-combined
12501_10	positive	BMI	Sex-combined
12504_26	negative	BMI	Sex-combined
12509_115	positive	BMI	Sex-combined
12514_16	positive	BMI	Sex-combined
12516_13	negative	BMI	Sex-combined
12521_3	negative	BMI	Sex-combined
12524_18	positive	BMI	Sex-combined
12527_50	negative	BMI	Sex-combined
12528_40	negative	BMI	Sex-combined
12529_32	negative	BMI	Sex-combined
12530_14	negative	BMI	Sex-combined
12531_5	negative	BMI	Sex-combined
12533_135	negative	BMI	Sex-combined
12540_25	positive	BMI	Sex-combined
12546_1	negative	BMI	Sex-combined
12554_10	positive	BMI	Sex-combined
12558_3	negative	BMI	Sex-combined
12560_9	positive	BMI	Sex-combined
12571_14	negative	BMI	Sex-combined
12585_39	negative	BMI	Sex-combined
12587_65	positive	BMI	Sex-combined
12594_5	negative	BMI	Sex-combined
12604_16	negative	BMI	Sex-combined
12612_37	negative	BMI	Sex-combined
12623_84	negative	BMI	Sex-combined
12632_14	negative	BMI	Sex-combined
12633_3	negative	BMI	Sex-combined
12635_9	positive	BMI	Sex-combined
12650_43	positive	BMI	Sex-combined
12651_21	negative	BMI	Sex-combined
12653_13	negative	BMI	Sex-combined
12655_30	negative	BMI	Sex-combined
12656_1	positive	BMI	Sex-combined
12663_1	positive	BMI	Sex-combined
12667_2	negative	BMI	Sex-combined
12668_7	negative	BMI	Sex-combined
12676_1	negative	BMI	Sex-combined
12681_63	negative	BMI	Sex-combined
12682_5	negative	BMI	Sex-combined
12685_57	positive	BMI	Sex-combined
12688_115	negative	BMI	Sex-combined
12693_2	negative	BMI	Sex-combined
12701_1	positive	BMI	Sex-combined
12704_26	positive	BMI	Sex-combined
12709_63	negative	BMI	Sex-combined
12713_365	negative	BMI	Sex-combined
12714_38	negative	BMI	Sex-combined
12715_30	negative	BMI	Sex-combined
12716_3	negative	BMI	Sex-combined
12738_43	negative	BMI	Sex-combined
12748_6	negative	BMI	Sex-combined
12750_9	negative	BMI	Sex-combined
12754_14	negative	BMI	Sex-combined
12760_34	negative	BMI	Sex-combined
12763_69	negative	BMI	Sex-combined
12764_3	negative	BMI	Sex-combined
12768_3	positive	BMI	Sex-combined
12775_6	negative	BMI	Sex-combined
12783_29	negative	BMI	Sex-combined
