exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	lower_ci	upper_ci
10339_48_ENO2_NSE	Male	BMI	10339_48	NSE	ENO2	3	IVW-MRE	0.0524778222741226	0.0115875391215972	5.93153722360029e-06	0.0297662455957921	0.0751893989524531
11145_72_KIAA1549L_K154L	Male	BMI	11145_72	K154L	KIAA1549L	10	IVW-MRE	-0.0226213626402613	0.0037587446613921	1.76226556249807e-09	-0.0299885021765898	-0.0152542231039328
11348_132_P4HA2_P4HA2	Male	BMI	11348_132	P4HA2	P4HA2	4	IVW-MRE	0.0339079461535826	0.00795465375191241	2.0201210396394e-05	0.0183168247998343	0.0494990675073309
11534_6_LRIT3_LRIT3	Male	BMI	11534_6	LRIT3	LRIT3	4	IVW-MRE	0.0508097007901645	0.00879373197512778	7.56184613774514e-09	0.0335739861189141	0.0680454154614149
12382_2_DDX58_DDX58	Male	BMI	12382_2	DDX58	DDX58	3	IVW-MRE	0.0251348294040254	0.00256053665371758	9.58569884892738e-23	0.0201161775627389	0.0301534812453119
12594_5_GCA_GRAN	Male	BMI	12594_5	GRAN	GCA	4	IVW-MRE	-0.0147338978040595	0.00232589906248021	2.3778693338002e-10	-0.0192926599665207	-0.0101751356415983
12632_14_NAT1_ARY1	Male	BMI	12632_14	ARY1	NAT1	7	IVW-MRE	-0.0498362352102308	0.00759300816198767	5.25812474025099e-11	-0.0647185312077266	-0.034953939212735
12702_13_PELI2_PELI2	Male	BMI	12702_13	PELI2	PELI2	3	IVW-MRE	-0.0239777741409464	0.00340585200555563	1.9200663146555e-12	-0.0306532440718354	-0.0173023042100574
12768_3_PPP1R3B_PPR3B	Male	BMI	12768_3	PPR3B	PPP1R3B	3	IVW-MRE	0.0349382319802862	0.00511676408791686	8.59932819726196e-12	0.0249093743679692	0.0449670895926032
12813_18_EHBP1_EHBP1	Male	BMI	12813_18	EHBP1	EHBP1	3	IVW-MRE	0.0499778253659212	0.00825834736615631	1.43240674131519e-09	0.0337914645282548	0.0661641862035876
13946_8_DDX23_DDX23	Male	BMI	13946_8	DDX23	DDX23	5	IVW-MRE	0.0319846474678643	0.00610359522997047	1.60318974169184e-07	0.0200216008171222	0.0439476941186064
