ID_adiposity_cancer	b	se	p	exposure	adiposity	cancer	group	method	protein	ID1	order	x_axis	ID
BMI_distal_Sex-combined	0.165096503572389	0.0512830150511715	0.00128494413647852	BMI	BMI	distal	Sex-combined	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_overall_Sex-combined	0.150258166028166	0.0366495195368031	4.1338713635909e-05	BMI	BMI	overall	Sex-combined	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_colon_Sex-combined	0.190393396869719	0.0411866107822896	3.7877505213477e-06	BMI	BMI	colon	Sex-combined	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_rectal_Sex-combined	0.0970115735901656	0.0507073178731669	0.055726660583934	BMI	BMI	rectal	Sex-combined	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_proximal_Sex-combined	0.203892850660761	0.049716004994926	4.11099923833864e-05	BMI	BMI	proximal	Sex-combined	UVMR	Univariable MR	BMI	0	BMI	NA
WHR_distal_Sex-combined	0.181832530758316	0.0654187015921442	0.00544394514793467	WHR	WHR	distal	Sex-combined	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_overall_Sex-combined	0.191379768301878	0.0478794579559741	6.41187671848444e-05	WHR	WHR	overall	Sex-combined	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_colon_Sex-combined	0.201277612874062	0.0549705104464484	0.000250687861139116	WHR	WHR	colon	Sex-combined	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_rectal_Sex-combined	0.222226002509566	0.0632056597023197	0.000438234069739963	WHR	WHR	rectal	Sex-combined	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_proximal_Sex-combined	0.194562647884421	0.0674506602284698	0.0039201326741004	WHR	WHR	proximal	Sex-combined	UVMR	Univariable MR	WHR	0	WHR	NA
BMI_proximal_Female	0.222515210653219	0.0714374474941568	0.00184053518434804	BMI	BMI	proximal	Female	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_colon_Female	0.174372139235744	0.0559593596599726	0.00183291451755904	BMI	BMI	colon	Female	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_overall_Female	0.123365619269516	0.0505023118940134	0.0145749532499144	BMI	BMI	overall	Female	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_rectal_Female	0.0706371037472393	0.0811268696281527	0.38391839345051	BMI	BMI	rectal	Female	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_distal_Female	0.123174149031173	0.0712373548484978	0.0837971306182261	BMI	BMI	distal	Female	UVMR	Univariable MR	BMI	0	BMI	NA
WHR_proximal_Female	0.161334376518476	0.0692961420778234	0.0199021766510358	WHR	WHR	proximal	Female	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_colon_Female	0.159632072762089	0.0559615028186487	0.00433722131382782	WHR	WHR	colon	Female	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_overall_Female	0.132243822402966	0.0479036205601635	0.00576912821425889	WHR	WHR	overall	Female	UVMR	Univariable MR	WHR	0	WHR	NA
WHR_rectal_Female	0.0909515831727198	0.0760715002304312	0.231850138160448	WHR	WHR	rectal	Female	UVMR	Univariable MR	WHR	0	WHR	NA
BMI_distal_Male	0.208735777569677	0.0782731919586063	0.00765864574064188	BMI	BMI	distal	Male	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_rectal_Male	0.117617347606037	0.0746208990512649	0.114980068897742	BMI	BMI	rectal	Male	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_overall_Male	0.216163911399654	0.0535018395688885	5.33810468856837e-05	BMI	BMI	overall	Male	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_proximal_Male	0.238945525423205	0.0703816938425185	0.00068629758688974	BMI	BMI	proximal	Male	UVMR	Univariable MR	BMI	0	BMI	NA
BMI_colon_Male	0.257736559506456	0.0614257613663819	2.71786103833711e-05	BMI	BMI	colon	Male	UVMR	Univariable MR	BMI	0	BMI	NA
NA	0.213973724280363	0.0757445022425316	0.00514070803279201	BMI	BMI	proximal	Female	MVMR	17-beta-HSD 1	BMI	1	17-beta-HSD 1	BMI_4708_3_proximal_Female
NA	0.0118469124320972	0.135709100280973	0.930511235639602	4708_3	BMI	proximal	Female	MVMR	17-beta-HSD 1	protein	1	17-beta-HSD 1	BMI_4708_3_proximal_Female
NA	0.0775989031746556	0.0542398681613893	0.153872691005882	BMI	BMI	overall	Female	MVMR	5HT6R	BMI	2	5HT6R	BMI_13561_5_overall_Female
NA	0.141093917823316	0.0379069715274362	0.000223436590663689	BMI	BMI	overall	Sex-combined	MVMR	5HT6R	BMI	2	5HT6R	BMI_13561_5_overall_Sex-combined
NA	0.140678456498475	0.0493203446307695	0.00480050693072389	WHR	WHR	overall	Female	MVMR	5HT6R	WHR	2	5HT6R	WHR_13561_5_overall_Female
