exposure	outcome	id	nsnps	h0	h1	h2	h3	h4
12361_102_RRAS2_RRAS2	joint_colon_female	12361_102_RRAS2_RRAS2_joint_colon_female	4516	0.0240754733789538	0.791159329147252	0.00391694026247829	0.128664863269871	0.0521833939414444
18878_15_GREM1_GREM1	joint_colon_female	18878_15_GREM1_GREM1_joint_colon_female	5456	0	6.82190208266738e-09	0	0.00913810969641872	0.990861883481808
19161_1_USP15_UBP15	joint_colon_female	19161_1_USP15_UBP15_joint_colon_female	5767	6.33678371706239e-44	0.761813992709602	1.74850336702021e-44	0.210178682815385	0.0280073244750194
15321_8_CPLX2_CPLX2	joint_colon_male	15321_8_CPLX2_CPLX2_joint_colon_male	4705	0.000238911997353765	0.847733780066242	4.001209313193e-05	0.141965279914462	0.0100220159288101
18878_15_GREM1_GREM1	joint_distal_female	18878_15_GREM1_GREM1_joint_distal_female	5456	0	1.24423785658303e-05	0	0.00420704745941334	0.995780510162325
19176_27_FAM49B_FA49B	joint_distal_female	19176_27_FAM49B_FA49B_joint_distal_female	6176	7.96816595338742e-05	0.760987413961868	2.32161930862982e-05	0.221705471266148	0.0172042169193648
3461_58_BCAN_PGCB	joint_distal_female	3461_58_BCAN_PGCB_joint_distal_female	4787	5.70389381622154e-117	0.678914025495242	1.62470196404355e-117	0.193254616874831	0.127831357629909
5006_71_MAPK13_MK13	joint_distal_male	5006_71_MAPK13_MK13_joint_distal_male	5277	5.6309345070532e-30	0.688558328461145	2.29914728901745e-30	0.281112527735257	0.0303291438035996
13130_150_HK2_HXK2	joint_proximal_male	13130_150_HK2_HXK2_joint_proximal_male	4950	3.32352008370509e-13	0.788931332986346	7.25269287255819e-14	0.172124199174402	0.0389444678388468
13481_24_TCEA2_TCEA2	joint_rectal_female	13481_24_TCEA2_TCEA2_joint_rectal_female	4197	4.01888641792967e-58	0.787714789610321	1.02723519710639e-58	0.201330479941345	0.0109547304483365
18878_15_GREM1_GREM1	joint_rectal_female	18878_15_GREM1_GREM1_joint_rectal_female	5456	0	2.55396279665141e-15	0	0.00647925835587657	0.993520741644135
5006_71_MAPK13_MK13	joint_rectal_female	5006_71_MAPK13_MK13_joint_rectal_female	5277	3.43353716456679e-30	0.419857466079181	4.69907726687726e-30	0.574603845051498	0.00553868886931982
9832_33_HGD_HGD	joint_rectal_female	9832_33_HGD_HGD_joint_rectal_female	5178	4.04904637613518e-34	0.761566465695337	1.15538301778032e-34	0.217289521174964	0.0211440131297041
13130_150_HK2_HXK2	overall_HRC	13130_150_HK2_HXK2_overall_HRC	4953	3.63349751332782e-13	0.862500259714671	5.05959374898488e-14	0.120084522558292	0.0174152177266239
18878_15_GREM1_GREM1	overall_HRC	18878_15_GREM1_GREM1_overall_HRC	5456	0	1.09315856240485e-37	0	0.00169410865870727	0.998305891340998
9834_62_ADH1B_ADH1B	overall_HRC	9834_62_ADH1B_ADH1B_overall_HRC	6059	1.90891175924811e-05	0.842353405529907	2.53923318608477e-06	0.112004174667692	0.045620791451623
13130_150_HK2_HXK2	overall	13130_150_HK2_HXK2_overall	4953	3.70463767303907e-13	0.879400769599787	4.35916256138417e-14	0.103459941322346	0.0171392890774531
17755_5_UGDH_UGDH	overall	17755_5_UGDH_UGDH_overall	6040	7.63906683913789e-279	0.629056676677302	4.42928821037917e-279	0.364733801311711	0.00620952201100465
18878_15_GREM1_GREM1	overall	18878_15_GREM1_GREM1_overall	5456	0	3.65368255834992e-35	0	0.0252058739694572	0.9747941260306
8402_22_CYTL1_CYTL1	overall	8402_22_CYTL1_CYTL1_overall	8287	0	0.779226945694855	0	0.200657042993425	0.020116011311708
9834_62_ADH1B_ADH1B	overall	9834_62_ADH1B_ADH1B_overall	6059	1.87264714923458e-05	0.826410916635742	2.59747181096377e-06	0.114569059293149	0.0589987001278051
18878_15_GREM1_GREM1	stratified_colon	18878_15_GREM1_GREM1_stratified_colon	5456	0	8.28183797522001e-20	0	0.00360661114013413	0.996393388859811
17785_11_RCL_RCL	stratified_female	17785_11_RCL_RCL_stratified_female	4781	2.91230129231776e-24	0.836916610823702	5.20133024709771e-25	0.149458536343491	0.0136248528328035
18878_15_GREM1_GREM1	stratified_female	18878_15_GREM1_GREM1_stratified_female	5456	0	1.06468528159235e-19	0	0.0057656845141153	0.994234315486276
8480_29_EFEMP1_FBLN3	stratified_female	8480_29_EFEMP1_FBLN3_stratified_female	6175	6.61484762579235e-57	0.840584129604286	1.17994837740694e-57	0.149932879389833	0.00948299100589401
8932_1_ENTPD6_ENTP6	stratified_female	8932_1_ENTPD6_ENTP6_stratified_female	5106	7.67549115752847e-41	0.833718987620841	1.36488274407163e-41	0.148236788757645	0.0180442236215141
13481_24_TCEA2_TCEA2	stratified_proximal	13481_24_TCEA2_TCEA2_stratified_proximal	4198	2.60533349268622e-59	0.0510653732440621	4.83928035981414e-58	0.948514072889271	0.000420553866669889
17706_4_PPP1R1A_PPR1A	stratified_proximal	17706_4_PPP1R1A_PPR1A_stratified_proximal	5155	0.000426171509260228	0.794322227897109	0.00010320360638115	0.192343833001937	0.012804563985313
18878_15_GREM1_GREM1	stratified_proximal	18878_15_GREM1_GREM1_stratified_proximal	5456	0	7.84794814167375e-15	0	0.0306268097813491	0.969373190218706
18878_15_GREM1_GREM1	stratified_rectal	18878_15_GREM1_GREM1_stratified_rectal	5456	0	1.51201168428948e-30	0	0.0118691076506533	0.988130892349057
