exposure	mediator	cancer	group	b	se	p	OR	lower_ci	upper_ci	Qstat	Qpval	fstat_adiposity	fstat_protein
BMI	10015_119_KCAB2_KCNAB2	proximal	Female	0.196901611096974	0.0763338487525821	0.0105120336462496	1.21762423409949	1.04842314376387	1.41413205563526	287.577315774169	0.00667973512984922	33.3935319500647	1.48362745551914
10015_119	BMI_KCAB2_KCNAB2	proximal	Female	0.147692281676226	0.133755598626606	0.270652410285832	1.15915614788995	0.891839860031637	1.50659668333662	287.577315774169	0.00667973512984922	33.3935319500647	1.48362745551914
BMI	10063_10_FANCL_FANCL	proximal	Female	0.209711346707418	0.0757822790068097	0.0061084391760329	1.23332200611328	1.06308821192528	1.43081557456889	287.981543275182	0.00638174543169961	29.9769063736275	1.91286800262751
10063_10	BMI_FANCL_FANCL	proximal	Female	0.0473755429782412	0.122835774929172	0.700085633512236	1.04851569785941	0.824166607549559	1.33393558849263	287.981543275182	0.00638174543169961	29.9769063736275	1.91286800262751
BMI	10063_10_FANCL_FANCL	rectal	Female	0.0170295108218474	0.0836614070309711	0.838881434624117	1.01717533956256	0.863339865336151	1.19842221233621	279.072832860395	0.016652018889692	29.9769063736275	1.91286800262751
10063_10	BMI_FANCL_FANCL	rectal	Female	0.0994894845619095	0.135697683835878	0.464194855232477	1.10460685525388	0.846641463367924	1.44117239406172	279.072832860395	0.016652018889692	29.9769063736275	1.91286800262751
BMI	10078_5_BAG3_BAG3	colon	Male	0.264860473739109	0.0642289638655384	5.51475236299253e-05	1.30324912561472	1.14909158549464	1.47808782594506	262.434279652256	0.000771631312643975	29.9275590708756	1.74006368192327
10078_5	BMI_BAG3_BAG3	colon	Male	0.126554357367796	0.11737186252578	0.282261226723221	1.1349111402817	0.901680988120618	1.42846895221794	262.434279652256	0.000771631312643975	29.9275590708756	1.74006368192327
BMI	10342_55_PIAS4_PIAS4	colon	Male	0.265162642281028	0.0639810626998502	5.07640157763116e-05	1.30364298600588	1.14999748956903	1.47781629992881	261.943441575181	0.000827621126459095	32.9720410484841	1.47748368677194
10342_55	BMI_PIAS4_PIAS4	colon	Male	0.138710030143216	0.120301859265662	0.250315010125199	1.14879093695885	0.907481939863986	1.45426653563662	261.943441575181	0.000827621126459095	32.9720410484841	1.47748368677194
