protein	cancer	group	nsnp_colocalization	h0	h1	h2	h3	h4
10015_119_KCNAB2_KCAB2	colon	Female	6105	8.3396140665838e-09	0.987280075202726	1.64137454154695e-11	0.0019430233734414	0.0107768930678055
10037_98_SIGLEC12_SIG12	colon	Female	7308	0	0.959005814163463	0	0.00333606561856296	0.0376581202183434
10042_8_SGK3_SGK3	colon	Female	4409	6.57113172043396e-08	0.952966954801107	1.67237548795756e-10	0.00242488739868068	0.0446080919216569
10070_22_PLCG2_PLCG2	colon	Female	9755	3.95384191353221e-35	0.983663393752364	1.37072698167127e-37	0.00341005754568507	0.0129265487019479
10075_75_ACBD6_ACBD6	colon	Female	6049	0.0258733790708813	0.948078779661507	4.41350262594949e-05	0.00161699683895362	0.0243867094023988
10080_9_EIF2B1_EI2BA	colon	Female	5035	2.18576979186504e-06	0.934861624006057	8.07210889702047e-09	0.00345185324789256	0.061684328904149
10088_37_APRT_APT	colon	Female	7800	2.16491396378887e-69	0.926913889135273	1.17887632485465e-71	0.00504671112990479	0.068039399734817
10336_3_STUB1_CHIP	colon	Female	5892	0.991490169623177	0.00360674637825259	0.00445343558979103	1.61959397456684e-05	0.000433452469033694
10346_5_STAT3_STAT3	colon	Female	3734	4.68186592253219e-70	0.989767593985479	6.72966980354661e-73	0.00142259448186138	0.00880981153265673
10366_11_PDGFRA_PDGFRA	colon	Female	5526	8.42188904415544e-19	0.986165899138106	1.36362880778404e-21	0.00159662655209322	0.0122374743098014
10370_21_STAT1_STAT1	colon	Female	4331	0.990514077981452	0.00800223691003492	0.00118210124428265	9.5471248249711e-06	0.00029203673940548
10372_18_STAT6_STAT6	colon	Female	3390	7.44318135513946e-30	0.700230037098647	2.83177728522947e-30	0.266403965641718	0.0333659972596321
10396_6_MCL1_Mcl_1	colon	Female	3684	4.09651795738475e-73	0.968227394041396	7.07809520621392e-76	0.00167263336735899	0.0300999725912576
10424_31_NPDC1_NPDC1	colon	Female	5226	0.000774383572991243	0.982654613945576	2.75569077151951e-06	0.00349670514950387	0.0130715416411581
10440_26_CLMP_ACAM	colon	Female	6329	1.16470562417346e-133	0.975712508155526	2.19892218053811e-136	0.00184188554279121	0.0224456063016613
10442_1_TMEM190_TM190	colon	Female	7374	0	0.1425940076474	0	0.000661235104475329	0.856744757247127
10445_20_APOM_ApoM	colon	Female	15524	1.7558144667014e-109	0.179418845194135	7.81398126252501e-109	0.798475655000787	0.0221054998050654
