exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	lower_ci	upper_ci
BMI	Male	2658_27_NTRK3_TrkC	2658_27	TrkC	NTRK3	192	IVW-MRE	-0.323194069174041	0.0334180030422647	3.9944447237603e-22	-0.38869335513688	-0.257694783211202
BMI	Male	19166_15_RPS19_RS19	19166_15	RS19	RPS19	192	IVW-MRE	0.145951079428258	0.0278345536736604	1.57540478744149e-07	0.0913953542278836	0.200506804628632
BMI	Male	9513_9_FGF22_FGF22	9513_9	FGF22	FGF22	192	IVW-MRE	0.144107746449061	0.0286169502293827	4.7598672073053e-07	0.0880185239994709	0.200196968898651
BMI	Male	5658_64_F13B_coagulation_factor_XIII_B	5658_64	coagulation_factor_XIII_B	F13B	192	IVW-MRE	0.152651535648691	0.0336263536496571	5.63503904784765e-06	0.0867438824953631	0.218559188802019
BMI	Male	12750_9_ITGB2_LFA_1_beta_2	12750_9	LFA_1_beta_2	ITGB2	192	IVW-MRE	0.143070363036529	0.0292234829107377	9.79400827221479e-07	0.0857923365314831	0.200348389541575
BMI	Male	4876_32_F9_Coagulation_Factor_IX	4876_32	Coagulation_Factor_IX	F9	192	IVW-MRE	0.200578128579652	0.0386767585050289	2.14845125384516e-07	0.124771681909795	0.276384575249509
BMI	Male	15562_24_GUSB_BGLR	15562_24	BGLR	GUSB	192	IVW-MRE	0.262051231106878	0.0392269195263649	2.38302632334459e-11	0.185166468835203	0.338935993378553
BMI	Male	15668_19_BMP8B_BMP_8	15668_19	BMP_8	BMP8B	192	IVW-MRE	0.144991369302771	0.0301153750039976	1.47546912506728e-06	0.0859652342949357	0.204017504310606
BMI	Male	3378_49_KLK7_Kallikrein_7	3378_49	Kallikrein_7	KLK7	192	IVW-MRE	-0.150550643489944	0.0334001989478709	6.56029011957091e-06	-0.216015033427771	-0.085086253552117
BMI	Male	8265_225_TMPO_LAP2B	8265_225	LAP2B	TMPO	192	IVW-MRE	0.147145835470837	0.029241528669118	4.85175981361396e-07	0.0898324392793657	0.204459231662308
BMI	Male	13689_2_ODC1_Ornithine_decarboxylase	13689_2	Ornithine_decarboxylase	ODC1	192	IVW-MRE	0.141618777428815	0.0300925211347475	2.52485732146057e-06	0.0826374360047099	0.20060011885292
BMI	Male	11263_57_CASQ1_CASQ1	11263_57	CASQ1	CASQ1	192	IVW-MRE	0.170174380838937	0.0325315834915174	1.68548758768194e-07	0.106412477195563	0.233936284482311
BMI	Male	14048_7_IL1RAP_IL_1_R_AcP	14048_7	IL_1_R_AcP	IL1RAP	192	IVW-MRE	-0.167180340139242	0.0288021646748274	6.45827734511802e-09	-0.223632582901904	-0.11072809737658
BMI	Male	14618_26_VOPP1_ECOP	14618_26	ECOP	VOPP1	192	IVW-MRE	-0.199845684114161	0.0380955496632448	1.55515926634814e-07	-0.274512961454121	-0.125178406774201
BMI	Male	18398_1_AKR1D1_AK1D1	18398_1	AK1D1	AKR1D1	192	IVW-MRE	0.196919578423346	0.0345314008402411	1.17977365149379e-08	0.129238032776473	0.264601124070219
BMI	Male	13093_6_SECTM1_SECTM1	13093_6	SECTM1	SECTM1	192	IVW-MRE	0.137160849295991	0.0284934441407859	1.48110232332749e-06	0.0813136987800507	0.193007999811931
BMI	Male	12463_7_KLHL13_KLH13	12463_7	KLH13	KLHL13	192	IVW-MRE	0.13403462695377	0.0290060932617544	3.82055386740843e-06	0.0771826841607314	0.190886569746809
BMI	Male	12751_26_ZHX1_ZHX1	12751_26	ZHX1	ZHX1	192	IVW-MRE	0.133931547921331	0.0283061329271028	2.22824925069505e-06	0.0784515273842095	0.189411568458452
BMI	Male	15513_108_PRSS8_Prostasin	15513_108	Prostasin	PRSS8	192	IVW-MRE	0.164431555598656	0.0357965231126671	4.35859787101918e-06	0.0942703702978285	0.234592740899484
BMI	Male	9197_4_LGALS9_LEG9	9197_4	LEG9	LGALS9	192	IVW-MRE	0.179464409387196	0.030968205770781	6.82731248510243e-09	0.118766726076465	0.240162092697927
