sequence_id	direction_group	exposure	group
3310_62	negative	whradjbmi	Male
14028_22	negative	whradjbmi	Male
19168_71	positive	whradjbmi	Male
6168_11	negative	whradjbmi	Male
11406_82	positive	whradjbmi	Male
6497_10	positive	whradjbmi	Male
16318_12	negative	whradjbmi	Male
9778_45	positive	whradjbmi	Male
8404_102	positive	whradjbmi	Male
6543_182	positive	whradjbmi	Male
13393_46	negative	whradjbmi	Male
5629_58	negative	whradjbmi	Male
4232_19	positive	whradjbmi	Male
10064_12	positive	whradjbmi	Male
3212_30	positive	whradjbmi	Male
9253_52	positive	whradjbmi	Male
5006_71	positive	whradjbmi	Male
11377_19	positive	whradjbmi	Male
15383_200	positive	whradjbmi	Male
5069_9	negative	whradjbmi	Male
9380_2	positive	whradjbmi	Male
10758_2	negative	whradjbmi	Male
5611_56	positive	whradjbmi	Male
14593_152	positive	whradjbmi	Male
19231_22	positive	whradjbmi	Male
9739_4	positive	whradjbmi	Male
13517_3	negative	whradjbmi	Male
10086_39	positive	whradjbmi	Male
9315_16	negative	whradjbmi	Male
6350_43	positive	whradjbmi	Male
16317_20	positive	whradjbmi	Male
3046_31	negative	whradjbmi	Male
7097_8	positive	whradjbmi	Male
18189_12	positive	whradjbmi	Male
19289_29	positive	whradjbmi	Male
8980_19	positive	whradjbmi	Male
13388_57	positive	whradjbmi	Male
7976_19	positive	whradjbmi	Male
2683_1	positive	whradjbmi	Male
10565_19	negative	whradjbmi	Male
4188_1	negative	whradjbmi	Male
15535_3	positive	whradjbmi	Male
3041_55	positive	whradjbmi	Male
13704_5	positive	whradjbmi	Male
8261_51	positive	whradjbmi	Male
16867_76	negative	whradjbmi	Male
5357_60	negative	whradjbmi	Male
7997_118	negative	whradjbmi	Male
8520_8	positive	whradjbmi	Male
11480_1	positive	whradjbmi	Male
7957_2	positive	whradjbmi	Male
17138_8	positive	whradjbmi	Male
12453_161	positive	whradjbmi	Male
13658_31	negative	whradjbmi	Male
9004_24	positive	whradjbmi	Male
14334_3	negative	whradjbmi	Male
8976_13	negative	whradjbmi	Male
4471_50	positive	whradjbmi	Male
10817_26	negative	whradjbmi	Male
9951_36	positive	whradjbmi	Male
3832_51	positive	whradjbmi	Male
6508_68	positive	whradjbmi	Male
5735_54	positive	whradjbmi	Male
17671_58	positive	whradjbmi	Male
9872_23	positive	whradjbmi	Male
15587_20	negative	whradjbmi	Male
5867_60	negative	whradjbmi	Male
6496_60	positive	whradjbmi	Male
12454_105	positive	whradjbmi	Male
7167_102	negative	whradjbmi	Male
5606_24	positive	whradjbmi	Male
12940_35	positive	whradjbmi	Male
13464_8	positive	whradjbmi	Male
2819_23	negative	whradjbmi	Male
18173_11	negative	whradjbmi	Male
15471_29	positive	whradjbmi	Male
16892_23	negative	whradjbmi	Male
13111_79	positive	whradjbmi	Male
6715_63	positive	whradjbmi	Male
8074_32	negative	whradjbmi	Male
4867_15	positive	whradjbmi	Male
7968_15	negative	whradjbmi	Male
12553_5	positive	whradjbmi	Male
14616_16	negative	whradjbmi	Male
7943_16	positive	whradjbmi	Male
7983_1	positive	whradjbmi	Male
3044_3	negative	whradjbmi	Male
15436_40	negative	whradjbmi	Male
10527_22	negative	whradjbmi	Male
3007_7	negative	whradjbmi	Male
4455_89	positive	whradjbmi	Male
9296_15	positive	whradjbmi	Male
11117_2	positive	whradjbmi	Male
15686_49	positive	whradjbmi	Male
12381_26	positive	whradjbmi	Male
6228_58	negative	whradjbmi	Male
6440_31	positive	whradjbmi	Male
5138_50	positive	whradjbmi	Male
13724_27	positive	whradjbmi	Male
5656_53	negative	whradjbmi	Male
9044_1	positive	whradjbmi	Male
6624_94	negative	whradjbmi	Male
4234_8	negative	whradjbmi	Male
6912_6	positive	whradjbmi	Male
13549_15	negative	whradjbmi	Male
13624_17	negative	whradjbmi	Male
12879_5	positive	whradjbmi	Male
2811_27	positive	whradjbmi	Male
7835_2	positive	whradjbmi	Male
12882_7	positive	whradjbmi	Male
16298_84	positive	whradjbmi	Male
9097_5	positive	whradjbmi	Male
3292_75	negative	whradjbmi	Male
14705_1	negative	whradjbmi	Male
12709_63	positive	whradjbmi	Male
9595_11	positive	whradjbmi	Male
11352_42	negative	whradjbmi	Male
6238_55	positive	whradjbmi	Male
6962_5	positive	whradjbmi	Male
6929_10	negative	whradjbmi	Male
17156_72	negative	whradjbmi	Male
4883_56	positive	whradjbmi	Male
5352_11	negative	whradjbmi	Male
11716_28	positive	whradjbmi	Male
5070_76	positive	whradjbmi	Male
7020_13	negative	whradjbmi	Male
14129_1	positive	whradjbmi	Male
12546_1	negative	whradjbmi	Male
12847_27	positive	whradjbmi	Male
9876_20	positive	whradjbmi	Male
4785_30	positive	whradjbmi	Male
3630_27	negative	whradjbmi	Male
2952_75	negative	whradjbmi	Male
12885_42	positive	whradjbmi	Male
9027_10	negative	whradjbmi	Male
16751_15	negative	whradjbmi	Male
13688_2	positive	whradjbmi	Male
3332_57	positive	whradjbmi	Male
8882_1	negative	whradjbmi	Male
6373_54	positive	whradjbmi	Male
8004_15	positive	whradjbmi	Male
3499_77	positive	whradjbmi	Male
2633_52	negative	whradjbmi	Male
5035_7	positive	whradjbmi	Male
9769_48	positive	whradjbmi	Male
15430_165	negative	whradjbmi	Male
6352_8	positive	whradjbmi	Male
5465_32	positive	whradjbmi	Male
13495_48	positive	whradjbmi	Male
10713_151	positive	whradjbmi	Male
4995_16	positive	whradjbmi	Male
12715_30	negative	whradjbmi	Male
7873_32	positive	whradjbmi	Male
5085_18	positive	whradjbmi	Male
8035_6	negative	whradjbmi	Male
12529_32	positive	whradjbmi	Male
5724_58	negative	whradjbmi	Male
12456_5	negative	whradjbmi	Male
13711_10	negative	whradjbmi	Male
7247_1	negative	whradjbmi	Male
6117_4	positive	whradjbmi	Male
9941_70	negative	whradjbmi	Male
12888_18	positive	whradjbmi	Male
16060_99	positive	whradjbmi	Male
9126_171	negative	whradjbmi	Male
14713_46	positive	whradjbmi	Male
6267_51	positive	whradjbmi	Male
3305_6	negative	whradjbmi	Male
9251_28	negative	whradjbmi	Male
6937_251	negative	whradjbmi	Male
12329_21	positive	whradjbmi	Male
9830_109	positive	whradjbmi	Male
18871_24	negative	whradjbmi	Male
15447_45	positive	whradjbmi	Male
14284_23	positive	whradjbmi	Male
13691_10	positive	whradjbmi	Male
19147_6	positive	whradjbmi	Male
6450_8	positive	whradjbmi	Male
13595_20	negative	whradjbmi	Male
5988_49	negative	whradjbmi	Male
7903_18	positive	whradjbmi	Male
9391_60	negative	whradjbmi	Male
13960_15	negative	whradjbmi	Male
9986_14	negative	whradjbmi	Male
15522_2	negative	whradjbmi	Male
17696_1	negative	whradjbmi	Male
17812_2	positive	whradjbmi	Male
14047_78	positive	whradjbmi	Male
5843_60	negative	whradjbmi	Male
6974_6	negative	whradjbmi	Male
2381_52	negative	whradjbmi	Male
13655_34	negative	whradjbmi	Male
12705_9	negative	whradjbmi	Male
17172_19	negative	whradjbmi	Male
5586_66	positive	whradjbmi	Male
14662_6	negative	whradjbmi	Male
19372_7	positive	whradjbmi	Male
3171_57	positive	whradjbmi	Male
11556_19	positive	whradjbmi	Male
3057_55	positive	whradjbmi	Male
16803_4	negative	whradjbmi	Male
17231_1	negative	whradjbmi	Male
12787_47	positive	whradjbmi	Male
18886_28	positive	whradjbmi	Male
8367_142	positive	whradjbmi	Male
9547_29	positive	whradjbmi	Male
16753_46	negative	whradjbmi	Male
14158_17	negative	whradjbmi	Male
6415_90	positive	whradjbmi	Male
3073_51	negative	whradjbmi	Male
7246_4	negative	whradjbmi	Male
8800_14	positive	whradjbmi	Male
8973_23	positive	whradjbmi	Male
9853_3	positive	whradjbmi	Male
5618_50	positive	whradjbmi	Male
17516_7	negative	whradjbmi	Male
7048_4	negative	whradjbmi	Male
8397_147	positive	whradjbmi	Male
5029_3	positive	whradjbmi	Male
5620_13	positive	whradjbmi	Male
11207_3	negative	whradjbmi	Male
16922_53	positive	whradjbmi	Male
10569_28	positive	whradjbmi	Male
10344_334	negative	whradjbmi	Male
3418_12	negative	whradjbmi	Male
2421_7	positive	whradjbmi	Male
9319_59	positive	whradjbmi	Male
15594_47	negative	whradjbmi	Male
2871_73	negative	whradjbmi	Male
7082_2	negative	whradjbmi	Male
5801_72	positive	whradjbmi	Male
3585_54	negative	whradjbmi	Male
13429_3	negative	whradjbmi	Male
5742_14	negative	whradjbmi	Male
6478_2	positive	whradjbmi	Male
6600_70	negative	whradjbmi	Male
10440_26	negative	whradjbmi	Male
6351_55	negative	whradjbmi	Male
13516_46	positive	whradjbmi	Male
9916_146	negative	whradjbmi	Male
19567_1	negative	whradjbmi	Male
16760_2	positive	whradjbmi	Male
6593_5	positive	whradjbmi	Male
8002_27	negative	whradjbmi	Male
7747_47	negative	whradjbmi	Male
8275_31	negative	whradjbmi	Male
6622_90	positive	whradjbmi	Male
15441_6	negative	whradjbmi	Male
3628_3	negative	whradjbmi	Male
8837_8	positive	whradjbmi	Male
14618_26	negative	whradjbmi	Male
12352_70	positive	whradjbmi	Male
9829_91	negative	whradjbmi	Male
12864_9	negative	whradjbmi	Male
8907_11	positive	whradjbmi	Male
7742_11	negative	whradjbmi	Male
3173_49	positive	whradjbmi	Male
6304_8	positive	whradjbmi	Male
3322_52	positive	whradjbmi	Male
13229_20	positive	whradjbmi	Male
8097_77	positive	whradjbmi	Male
17140_57	positive	whradjbmi	Male
13509_5	positive	whradjbmi	Male
9524_46	negative	whradjbmi	Male
18832_65	negative	whradjbmi	Male
10366_11	negative	whradjbmi	Male
9207_60	positive	whradjbmi	Male
9907_216	positive	whradjbmi	Male
13113_7	negative	whradjbmi	Male
2790_54	positive	whradjbmi	Male
4337_49	negative	whradjbmi	Male
5680_54	negative	whradjbmi	Male
4544_4	positive	whradjbmi	Male
7655_11	negative	whradjbmi	Male
2654_19	negative	whradjbmi	Male
11424_4	negative	whradjbmi	Male
13686_2	positive	whradjbmi	Male
13977_28	positive	whradjbmi	Male
10693_43	negative	whradjbmi	Male
17725_37	negative	whradjbmi	Male
15455_40	positive	whradjbmi	Male
6578_29	negative	whradjbmi	Male
13441_30	positive	whradjbmi	Male
12439_67	positive	whradjbmi	Male
3389_7	positive	whradjbmi	Male
12334_25	negative	whradjbmi	Male
8102_239	positive	whradjbmi	Male
3079_62	positive	whradjbmi	Male
5116_62	positive	whradjbmi	Male
6572_10	positive	whradjbmi	Male
19273_3	negative	whradjbmi	Male
13421_17	positive	whradjbmi	Male
15394_79	negative	whradjbmi	Male
5617_41	positive	whradjbmi	Male
7773_20	negative	whradjbmi	Male
19153_53	positive	whradjbmi	Male
11160_56	positive	whradjbmi	Male
11416_23	positive	whradjbmi	Male
11708_2	negative	whradjbmi	Male
6506_54	negative	whradjbmi	Male
13697_51	negative	whradjbmi	Male
13491_40	positive	whradjbmi	Male
17210_2	negative	whradjbmi	Male
12361_102	positive	whradjbmi	Male
11258_41	positive	whradjbmi	Male
10453_7	negative	whradjbmi	Male
9713_67	negative	whradjbmi	Male
7926_13	positive	whradjbmi	Male
10442_1	positive	whradjbmi	Male
17777_31	positive	whradjbmi	Male
15626_223	negative	whradjbmi	Male
11118_107	negative	whradjbmi	Male
13681_173	negative	whradjbmi	Male
11436_6	positive	whradjbmi	Male
12667_2	positive	whradjbmi	Male
8098_37	negative	whradjbmi	Male
10510_62	positive	whradjbmi	Male
10085_25	positive	whradjbmi	Male
8858_21	positive	whradjbmi	Male
17404_5	positive	whradjbmi	Male
10391_1	negative	whradjbmi	Male
3070_1	negative	whradjbmi	Male
12734_112	positive	whradjbmi	Male
16792_4	negative	whradjbmi	Male
10435_2	positive	whradjbmi	Male
4271_75	negative	whradjbmi	Male
7009_8	negative	whradjbmi	Male
5730_60	negative	whradjbmi	Male
12548_75	positive	whradjbmi	Male
3710_49	positive	whradjbmi	Male
8222_49	positive	whradjbmi	Male
9294_45	positive	whradjbmi	Male
19119_10	positive	whradjbmi	Male
6551_94	positive	whradjbmi	Male
12630_8	negative	whradjbmi	Male
17377_1	positive	whradjbmi	Male
15413_3	positive	whradjbmi	Male
14597_5	positive	whradjbmi	Male
5364_7	positive	whradjbmi	Male
6404_20	negative	whradjbmi	Male
7815_49	negative	whradjbmi	Male
9177_6	positive	whradjbmi	Male
11144_10	positive	whradjbmi	Male
8352_26	positive	whradjbmi	Male
12034_28	positive	whradjbmi	Male
18449_33	negative	whradjbmi	Male
11468_15	positive	whradjbmi	Male
9233_71	negative	whradjbmi	Male
7859_21	positive	whradjbmi	Male
19296_51	positive	whradjbmi	Male
10438_19	positive	whradjbmi	Male
11709_29	negative	whradjbmi	Male
13629_25	positive	whradjbmi	Male
6599_5	positive	whradjbmi	Male
8094_20	positive	whradjbmi	Male
7016_12	positive	whradjbmi	Male
18875_125	positive	whradjbmi	Male
13007_66	negative	whradjbmi	Male
2211_9	negative	whradjbmi	Male
12799_65	positive	whradjbmi	Male
12790_10	positive	whradjbmi	Male
4984_83	positive	whradjbmi	Male
17419_17	positive	whradjbmi	Male
19174_141	positive	whradjbmi	Male
14227_21	negative	whradjbmi	Male
17724_3	positive	whradjbmi	Male
10672_75	positive	whradjbmi	Male
10514_5	positive	whradjbmi	Male
3810_50	positive	whradjbmi	Male
2773_50	positive	whradjbmi	Male
10675_223	negative	whradjbmi	Male
14122_132	positive	whradjbmi	Male
10036_201	positive	whradjbmi	Male
7221_56	negative	whradjbmi	Male
4342_10	positive	whradjbmi	Male
2879_9	negative	whradjbmi	Male
19572_10	positive	whradjbmi	Male
7923_41	positive	whradjbmi	Male
15644_1	positive	whradjbmi	Male
9127_4	positive	whradjbmi	Male
12476_50	negative	whradjbmi	Male
7046_6	negative	whradjbmi	Male
8754_5	negative	whradjbmi	Male
3066_12	negative	whradjbmi	Male
3470_1	positive	whradjbmi	Male
14246_50	negative	whradjbmi	Male
7206_20	positive	whradjbmi	Male
3387_1	negative	whradjbmi	Male
12627_97	positive	whradjbmi	Male
12538_19	positive	whradjbmi	Male
2967_8	negative	whradjbmi	Male
2809_25	negative	whradjbmi	Male
9017_58	positive	whradjbmi	Male
8233_2	negative	whradjbmi	Male
6907_17	positive	whradjbmi	Male
3413_50	positive	whradjbmi	Male
9581_4	negative	whradjbmi	Male
9526_3	negative	whradjbmi	Male
19125_26	positive	whradjbmi	Male
4924_32	positive	whradjbmi	Male
9094_5	negative	whradjbmi	Male
15530_33	negative	whradjbmi	Male
15336_7	negative	whradjbmi	Male
3213_65	positive	whradjbmi	Male
11239_49	negative	whradjbmi	Male
5636_10	negative	whradjbmi	Male
10700_10	positive	whradjbmi	Male
9561_21	positive	whradjbmi	Male
19376_74	negative	whradjbmi	Male
19636_23	negative	whradjbmi	Male
5201_50	negative	whradjbmi	Male
11402_17	negative	whradjbmi	Male
12366_16	positive	whradjbmi	Male
17346_61	positive	whradjbmi	Male
18289_16	negative	whradjbmi	Male
18264_12	negative	whradjbmi	Male
12350_86	negative	whradjbmi	Male
8446_4	positive	whradjbmi	Male
9759_13	positive	whradjbmi	Male
19209_6	positive	whradjbmi	Male
5400_52	negative	whradjbmi	Male
8086_49	positive	whradjbmi	Male
12704_26	positive	whradjbmi	Male
11571_75	positive	whradjbmi	Male
8956_96	positive	whradjbmi	Male
14029_42	positive	whradjbmi	Male
8811_24	negative	whradjbmi	Male
16297_14	negative	whradjbmi	Male
7878_2	positive	whradjbmi	Male
12665_16	positive	whradjbmi	Male
6442_6	positive	whradjbmi	Male
8818_13	positive	whradjbmi	Male
7262_191	positive	whradjbmi	Male
8014_359	negative	whradjbmi	Male
15527_90	negative	whradjbmi	Male
15412_40	positive	whradjbmi	Male
12536_46	positive	whradjbmi	Male
11548_84	negative	whradjbmi	Male
4900_8	positive	whradjbmi	Male
5017_19	positive	whradjbmi	Male
10011_65	negative	whradjbmi	Male
6379_62	negative	whradjbmi	Male
9844_138	negative	whradjbmi	Male
15566_10	negative	whradjbmi	Male
9557_5	negative	whradjbmi	Male
13532_25	positive	whradjbmi	Male
19286_30	positive	whradjbmi	Male
11682_7	negative	whradjbmi	Male
12860_7	positive	whradjbmi	Male
9191_8	positive	whradjbmi	Male
9061_3	positive	whradjbmi	Male
10908_2	positive	whradjbmi	Male
3186_2	negative	whradjbmi	Male
10499_1	positive	whradjbmi	Male
12500_88	positive	whradjbmi	Male
12430_78	positive	whradjbmi	Male
15483_377	negative	whradjbmi	Male
3035_80	negative	whradjbmi	Male
15305_7	negative	whradjbmi	Male
15486_126	positive	whradjbmi	Male
15363_32	positive	whradjbmi	Male
18302_204	negative	whradjbmi	Male
11128_29	positive	whradjbmi	Male
17711_13	negative	whradjbmi	Male
8778_3	positive	whradjbmi	Male
13132_14	positive	whradjbmi	Male
17467_1	positive	whradjbmi	Male
15640_54	negative	whradjbmi	Male
14060_67	positive	whradjbmi	Male
12664_19	negative	whradjbmi	Male
6947_4	positive	whradjbmi	Male
17427_26	positive	whradjbmi	Male
10990_21	positive	whradjbmi	Male
