sequence_id	direction_group	exposure	group
3806_55	negative	whr	Male
8942_2	positive	whr	Male
9003_99	positive	whr	Male
9487_60	positive	whr	Male
10000_28	positive	whr	Male
10001_7	positive	whr	Male
10006_25	positive	whr	Male
10008_43	positive	whr	Male
10011_65	positive	whr	Male
10012_5	positive	whr	Male
10014_31	positive	whr	Male
10015_119	positive	whr	Male
10023_32	positive	whr	Male
10035_6	positive	whr	Male
10036_201	positive	whr	Male
10037_98	positive	whr	Male
10040_63	positive	whr	Male
10041_3	positive	whr	Male
10043_31	positive	whr	Male
10044_12	positive	whr	Male
10045_47	positive	whr	Male
10047_12	positive	whr	Male
10048_7	positive	whr	Male
10049_112	positive	whr	Male
10054_3	positive	whr	Male
10058_1	positive	whr	Male
10063_10	positive	whr	Male
10064_12	positive	whr	Male
10076_1	positive	whr	Male
10080_9	positive	whr	Male
10081_17	positive	whr	Male
10085_25	positive	whr	Male
10086_39	positive	whr	Male
10087_10	positive	whr	Male
10339_48	positive	whr	Male
10344_334	positive	whr	Male
10356_21	positive	whr	Male
10361_25	positive	whr	Male
10362_35	positive	whr	Male
10396_6	positive	whr	Male
10418_36	positive	whr	Male
10424_31	positive	whr	Male
10425_3	positive	whr	Male
10426_21	positive	whr	Male
10430_31	positive	whr	Male
10432_3	positive	whr	Male
10435_2	positive	whr	Male
10438_19	positive	whr	Male
10442_1	negative	whr	Male
10447_18	positive	whr	Male
10449_31	positive	whr	Male
10451_11	positive	whr	Male
10453_7	positive	whr	Male
10454_99	positive	whr	Male
10455_196	positive	whr	Male
10462_14	positive	whr	Male
10464_6	negative	whr	Male
10485_56	positive	whr	Male
10490_3	positive	whr	Male
10496_11	positive	whr	Male
10499_1	positive	whr	Male
10510_62	positive	whr	Male
10512_13	positive	whr	Male
10527_22	positive	whr	Male
10530_8	positive	whr	Male
10531_18	positive	whr	Male
10534_40	positive	whr	Male
10539_30	positive	whr	Male
10546_2	positive	whr	Male
10550_37	positive	whr	Male
10553_8	positive	whr	Male
10557_6	positive	whr	Male
10560_1	positive	whr	Male
10561_5	positive	whr	Male
10562_42	positive	whr	Male
10563_13	positive	whr	Male
10565_19	negative	whr	Male
10569_28	positive	whr	Male
10571_14	positive	whr	Male
10572_65	positive	whr	Male
10574_10	positive	whr	Male
10575_31	positive	whr	Male
10580_14	positive	whr	Male
10582_36	positive	whr	Male
10584_7	positive	whr	Male
10588_39	positive	whr	Male
10589_7	positive	whr	Male
10605_22	positive	whr	Male
10612_18	positive	whr	Male
10613_33	positive	whr	Male
10615_18	negative	whr	Male
10616_67	positive	whr	Male
10618_190	positive	whr	Male
10621_26	positive	whr	Male
10624_45	positive	whr	Male
10627_87	positive	whr	Male
10638_1	positive	whr	Male
10643_16	positive	whr	Male
10647_18	positive	whr	Male
10666_7	positive	whr	Male
10667_78	positive	whr	Male
10672_75	positive	whr	Male
10675_223	positive	whr	Male
10677_9	positive	whr	Male
10695_12	positive	whr	Male
10700_10	positive	whr	Male
10703_203	positive	whr	Male
10704_91	positive	whr	Male
10705_14	positive	whr	Male
10708_3	positive	whr	Male
10710_23	positive	whr	Male
10713_151	positive	whr	Male
10716_35	positive	whr	Male
10731_10	positive	whr	Male
10734_339	positive	whr	Male
10737_96	positive	whr	Male
10754_113	positive	whr	Male
10756_34	positive	whr	Male
10760_107	positive	whr	Male
10761_5	positive	whr	Male
10762_2	positive	whr	Male
10767_52	positive	whr	Male
10772_21	positive	whr	Male
10781_19	positive	whr	Male
10798_4	positive	whr	Male
10800_15	positive	whr	Male
10814_7	positive	whr	Male
10815_2	positive	whr	Male
10817_26	positive	whr	Male
10818_36	positive	whr	Male
10827_67	positive	whr	Male
10830_5	positive	whr	Male
10842_7	positive	whr	Male
10848_137	positive	whr	Male
10851_77	negative	whr	Male
10866_60	positive	whr	Male
10876_300	positive	whr	Male
10880_38	positive	whr	Male
10882_12	positive	whr	Male
10885_36	positive	whr	Male
10889_2	positive	whr	Male
10890_135	positive	whr	Male
10892_8	positive	whr	Male
10895_28	positive	whr	Male
10900_272	positive	whr	Male
10902_53	positive	whr	Male
10907_116	negative	whr	Male
10910_6	positive	whr	Male
10917_40	positive	whr	Male
10924_258	positive	whr	Male
10933_107	positive	whr	Male
10938_13	positive	whr	Male
10940_25	positive	whr	Male
10945_11	positive	whr	Male
10948_14	positive	whr	Male
10949_59	positive	whr	Male
10953_14	positive	whr	Male
10956_82	positive	whr	Male
10959_125	positive	whr	Male
10961_15	positive	whr	Male
10978_39	negative	whr	Male
10990_21	positive	whr	Male
11067_13	positive	whr	Male
11071_1	positive	whr	Male
11094_104	positive	whr	Male
11098_1	positive	whr	Male
11101_18	positive	whr	Male
11102_22	positive	whr	Male
11103_24	positive	whr	Male
11107_25	positive	whr	Male
11110_4	positive	whr	Male
11112_18	positive	whr	Male
11116_16	positive	whr	Male
11117_2	positive	whr	Male
11118_107	positive	whr	Male
11120_49	positive	whr	Male
11126_102	positive	whr	Male
11128_29	positive	whr	Male
11129_66	positive	whr	Male
11134_30	positive	whr	Male
11135_5	positive	whr	Male
11137_43	positive	whr	Male
11138_16	positive	whr	Male
11140_56	negative	whr	Male
11143_32	positive	whr	Male
11144_10	positive	whr	Male
11146_4	positive	whr	Male
11149_3	positive	whr	Male
11152_46	negative	whr	Male
11155_16	positive	whr	Male
11158_40	positive	whr	Male
11160_56	positive	whr	Male
11163_7	positive	whr	Male
11164_7	positive	whr	Male
11167_6	positive	whr	Male
11168_3	positive	whr	Male
11171_25	positive	whr	Male
11173_29	positive	whr	Male
11175_45	positive	whr	Male
11178_21	positive	whr	Male
11179_7	positive	whr	Male
11180_17	positive	whr	Male
11185_145	positive	whr	Male
11190_129	positive	whr	Male
11192_168	negative	whr	Male
11193_27	positive	whr	Male
11196_31	positive	whr	Male
11198_37	positive	whr	Male
11201_19	positive	whr	Male
11204_80	positive	whr	Male
11205_10	positive	whr	Male
11208_15	negative	whr	Male
11212_7	positive	whr	Male
11214_40	positive	whr	Male
11215_6	positive	whr	Male
11218_84	positive	whr	Male
11220_53	positive	whr	Male
11223_1	positive	whr	Male
11226_16	positive	whr	Male
11227_31	positive	whr	Male
11228_37	positive	whr	Male
11231_12	positive	whr	Male
11237_49	positive	whr	Male
11241_8	positive	whr	Male
11243_90	positive	whr	Male
11247_20	positive	whr	Male
11248_43	positive	whr	Male
11252_30	positive	whr	Male
11254_13	positive	whr	Male
11257_1	positive	whr	Male
11258_41	positive	whr	Male
11260_47	positive	whr	Male
11262_39	positive	whr	Male
11264_33	positive	whr	Male
11266_8	negative	whr	Male
11273_176	positive	whr	Male
11278_4	negative	whr	Male
11279_42	positive	whr	Male
11280_6	positive	whr	Male
11281_6	positive	whr	Male
11283_13	positive	whr	Male
11284_24	positive	whr	Male
11286_78	positive	whr	Male
11287_14	positive	whr	Male
11289_31	positive	whr	Male
11292_13	positive	whr	Male
11297_54	positive	whr	Male
11300_32	positive	whr	Male
11303_7	positive	whr	Male
11308_8	positive	whr	Male
11311_79	positive	whr	Male
11312_40	positive	whr	Male
11313_100	positive	whr	Male
11315_148	positive	whr	Male
11319_106	positive	whr	Male
11320_29	positive	whr	Male
11324_3	positive	whr	Male
11325_8	positive	whr	Male
11327_56	positive	whr	Male
11328_9	positive	whr	Male
11330_15	positive	whr	Male
11334_7	positive	whr	Male
11336_9	positive	whr	Male
11338_49	positive	whr	Male
11342_59	positive	whr	Male
11348_132	positive	whr	Male
11350_30	positive	whr	Male
11352_42	positive	whr	Male
11356_19	positive	whr	Male
11363_58	positive	whr	Male
11364_18	positive	whr	Male
11365_17	positive	whr	Male
11370_20	positive	whr	Male
11371_1	positive	whr	Male
11372_2	positive	whr	Male
11375_49	positive	whr	Male
11380_84	positive	whr	Male
11381_56	positive	whr	Male
11382_5	positive	whr	Male
11383_41	positive	whr	Male
11390_24	positive	whr	Male
11391_69	positive	whr	Male
11396_39	positive	whr	Male
11401_181	positive	whr	Male
11405_150	positive	whr	Male
11406_82	positive	whr	Male
11407_57	positive	whr	Male
11416_23	positive	whr	Male
11422_2	positive	whr	Male
11424_4	positive	whr	Male
11428_31	positive	whr	Male
11429_80	positive	whr	Male
11430_49	positive	whr	Male
11431_235	positive	whr	Male
11432_11	positive	whr	Male
11433_11	positive	whr	Male
11436_6	positive	whr	Male
11438_6	positive	whr	Male
11439_88	positive	whr	Male
11440_58	positive	whr	Male
11441_11	positive	whr	Male
11442_1	positive	whr	Male
11444_49	positive	whr	Male
11456_2	positive	whr	Male
11459_81	positive	whr	Male
11462_8	positive	whr	Male
11464_9	positive	whr	Male
11465_4	positive	whr	Male
11480_1	positive	whr	Male
11481_25	positive	whr	Male
11486_26	positive	whr	Male
11510_31	positive	whr	Male
11513_92	positive	whr	Male
11516_7	positive	whr	Male
11530_37	positive	whr	Male
11531_24	positive	whr	Male
11534_6	positive	whr	Male
11536_9	positive	whr	Male
11538_216	positive	whr	Male
11539_4	positive	whr	Male
11543_84	positive	whr	Male
11547_84	positive	whr	Male
11549_6	positive	whr	Male
11551_16	positive	whr	Male
11556_19	positive	whr	Male
11557_3	positive	whr	Male
11560_76	positive	whr	Male
11562_9	positive	whr	Male
11563_51	positive	whr	Male
11565_58	positive	whr	Male
11566_48	positive	whr	Male
11567_23	positive	whr	Male
11570_94	positive	whr	Male
11571_75	positive	whr	Male
11573_3	positive	whr	Male
11582_63	positive	whr	Male
11587_5	positive	whr	Male
11590_5	positive	whr	Male
11591_43	positive	whr	Male
11592_1	positive	whr	Male
11593_21	positive	whr	Male
11596_47	positive	whr	Male
11601_26	positive	whr	Male
11606_22	positive	whr	Male
11607_15	positive	whr	Male
11617_1	positive	whr	Male
11618_83	positive	whr	Male
11626_7	positive	whr	Male
11638_42	positive	whr	Male
11645_9	positive	whr	Male
11646_4	positive	whr	Male
11647_6	positive	whr	Male
11656_110	positive	whr	Male
11657_86	positive	whr	Male
11661_11	positive	whr	Male
11666_72	positive	whr	Male
11667_29	positive	whr	Male
11669_39	positive	whr	Male
11671_19	positive	whr	Male
11677_17	positive	whr	Male
11678_105	positive	whr	Male
11681_8	positive	whr	Male
11682_7	positive	whr	Male
11690_47	positive	whr	Male
11692_21	positive	whr	Male
11715_1	positive	whr	Male
11716_28	positive	whr	Male
11816_84	positive	whr	Male
11825_27	positive	whr	Male
11827_7	positive	whr	Male
11837_7	positive	whr	Male
11838_130	positive	whr	Male
11872_9	positive	whr	Male
11911_13	positive	whr	Male
11926_23	negative	whr	Male
11934_9	positive	whr	Male
11952_1	positive	whr	Male
11955_1	positive	whr	Male
11967_23	positive	whr	Male
11969_5	positive	whr	Male
11988_24	positive	whr	Male
11989_35	positive	whr	Male
12014_19	positive	whr	Male
12018_84	positive	whr	Male
12020_39	positive	whr	Male
12030_82	positive	whr	Male
12033_3	positive	whr	Male
12034_28	positive	whr	Male
12041_33	positive	whr	Male
12329_21	positive	whr	Male
12333_87	positive	whr	Male
12334_25	negative	whr	Male
12341_8	positive	whr	Male
12343_14	positive	whr	Male
12345_4	positive	whr	Male
12347_29	positive	whr	Male
12348_46	positive	whr	Male
12350_86	positive	whr	Male
12352_70	positive	whr	Male
12355_223	positive	whr	Male
12356_65	positive	whr	Male
12357_41	positive	whr	Male
12361_102	positive	whr	Male
12363_70	positive	whr	Male
12365_108	positive	whr	Male
12366_16	positive	whr	Male
12367_52	positive	whr	Male
