sequence_id	direction_group	exposure	group
8062_15	positive	whradjbmi	Female
14028_22	positive	whradjbmi	Female
13620_10	positive	whradjbmi	Female
4960_72	positive	whradjbmi	Female
19168_71	positive	whradjbmi	Female
11406_82	positive	whradjbmi	Female
6497_10	positive	whradjbmi	Female
13536_56	positive	whradjbmi	Female
9834_62	positive	whradjbmi	Female
13614_6	positive	whradjbmi	Female
19602_36	positive	whradjbmi	Female
9753_17	positive	whradjbmi	Female
12637_7	positive	whradjbmi	Female
12522_6	positive	whradjbmi	Female
18307_71	positive	whradjbmi	Female
19132_1	positive	whradjbmi	Female
14631_22	positive	whradjbmi	Female
7045_4	positive	whradjbmi	Female
5280_68	positive	whradjbmi	Female
7866_11	positive	whradjbmi	Female
2468_62	positive	whradjbmi	Female
18434_141	positive	whradjbmi	Female
9778_45	positive	whradjbmi	Female
8404_102	positive	whradjbmi	Female
6543_182	positive	whradjbmi	Female
12455_48	positive	whradjbmi	Female
3903_49	positive	whradjbmi	Female
7824_88	positive	whradjbmi	Female
3421_54	positive	whradjbmi	Female
8459_10	positive	whradjbmi	Female
14206_28	positive	whradjbmi	Female
7867_154	positive	whradjbmi	Female
3078_1	positive	whradjbmi	Female
13556_28	positive	whradjbmi	Female
12365_108	positive	whradjbmi	Female
13439_6	positive	whradjbmi	Female
2939_10	positive	whradjbmi	Female
5018_68	positive	whradjbmi	Female
11356_19	positive	whradjbmi	Female
13609_11	positive	whradjbmi	Female
5629_58	positive	whradjbmi	Female
4220_39	positive	whradjbmi	Female
17512_2	positive	whradjbmi	Female
11264_33	positive	whradjbmi	Female
19110_6	positive	whradjbmi	Female
6469_62	positive	whradjbmi	Female
12527_50	positive	whradjbmi	Female
10064_12	positive	whradjbmi	Female
3437_80	positive	whradjbmi	Female
3212_30	positive	whradjbmi	Female
4557_61	positive	whradjbmi	Female
11591_43	positive	whradjbmi	Female
5006_71	positive	whradjbmi	Female
15383_200	positive	whradjbmi	Female
5069_9	negative	whradjbmi	Female
11375_49	positive	whradjbmi	Female
9380_2	positive	whradjbmi	Female
5611_56	positive	whradjbmi	Female
4237_70	positive	whradjbmi	Female
8869_5	positive	whradjbmi	Female
15553_22	positive	whradjbmi	Female
12641_3	positive	whradjbmi	Female
14593_152	positive	whradjbmi	Female
19231_22	positive	whradjbmi	Female
16754_40	positive	whradjbmi	Female
19560_23	positive	whradjbmi	Female
8913_22	positive	whradjbmi	Female
9739_4	positive	whradjbmi	Female
19249_18	positive	whradjbmi	Female
6948_82	positive	whradjbmi	Female
13517_3	positive	whradjbmi	Female
19130_81	positive	whradjbmi	Female
10086_39	positive	whradjbmi	Female
6350_43	positive	whradjbmi	Female
10043_31	positive	whradjbmi	Female
16317_20	positive	whradjbmi	Female
3046_31	negative	whradjbmi	Female
18416_3	positive	whradjbmi	Female
3363_31	positive	whradjbmi	Female
19388_2	positive	whradjbmi	Female
