adiposity	sequence_id	protein	gene	group	b_adiposity_protein	cancer	OR_protein_cancer
BMI	10078_5	BAG3	BAG3	Male	0.131286507420072	colon	1.1833235200677
BMI	10342_55	PIAS4	PIAS4	Male	0.126537735447932	colon	1.23674904411914
BMI	10435_2	ASPG	AGA	Male	0.160508178398576	colon	1.21501642957246
BMI	10695_12	WF10B	WFDC10B	Male	0.118225972413428	distal	1.59244549904994
BMI	11270_17	CHC10	CHCHD10	Male	0.143888157271638	proximal	1.16880299644449
BMI	11352_42	TITIN	TTN	Male	0.134626202308902	colon	1.75710976023302
BMI	11573_3	SRSF6	SRSF6	Male	0.211495008743124	overall	1.58976062971881
BMI	11573_3	SRSF6	SRSF6	Male	0.211495008743124	colon	1.82302801203135
BMI	11667_29	TENC1	TNS2	Male	0.124244401471255	distal	1.35294241243653
BMI	11671_19	BRPF1	BRPF1	Male	0.136570457379896	colon	1.13957849208813
BMI	12400_25	UBE2T	UBE2T	Male	0.140312773605763	distal	1.18322362538853
BMI	12664_19	PTN13	PTPN13	Male	0.131464263500588	distal	1.32959269369254
BMI	12721_4	TAXB1	TAX1BP1	Male	0.123135894615894	distal	1.1778148106564
BMI	12807_89	RHG30	ARHGAP30	Male	0.160501695137895	overall	1.18332874395393
BMI	13085_18	GLP1R	GLP1R	Male	0.130602756833689	distal	1.22177903536745
BMI	13130_150	HXK2	HK2	Male	0.147489505558467	proximal	1.20424798582457
BMI	13430_50	UT1	SLC14A1	Male	0.125411311109209	distal	1.21325423245134
BMI	15310_61	PRC1	PRC1	Male	0.125865143372718	distal	1.16825769692994
BMI	15381_45	Discoidin_domain_receptor_2	DDR2	Male	0.156272018095155	distal	1.60254093020124
BMI	15460_9	CD26	DPP4	Male	0.122861787419186	colon	1.16272888167676
BMI	16836_1	FHR3	CFHR3	Male	0.116159660643872	distal	1.21175789013076
BMI	19242_21	PFD1	PFDN1	Male	0.134169473319322	distal	1.29085285660772
BMI	19260_4	GIPC1	GIPC1	Male	0.126798769927034	colon	1.46467205706522
BMI	19260_4	GIPC1	GIPC1	Male	0.126798769927034	proximal	1.59359655966381
BMI	19280_29	UB2D3	UBE2D3	Male	0.13319996567009	colon	1.11574274459646
BMI	19280_29	UB2D3	UBE2D3	Male	0.13319996567009	proximal	1.21110369779353
BMI	2597_8	VEGF	VEGFA	Male	0.143030400142483	distal	1.09377042879488
BMI	2760_2	DRR1	FAM107A	Male	0.1225674387801	distal	1.11272737923107
BMI	2878_66	YES	YES1	Male	0.126246424733248	colon	1.20342829972288
BMI	2982_82	Galectin_4	LGALS4	Male	0.159692447105944	distal	1.68699645129155
BMI	3078_1	PlGF	PGF	Male	0.118699136291468	distal	1.43071912144737
BMI	4261_55	paraoxonase_1	PON1	Male	0.131686438912269	proximal	1.15920983930315
BMI	4374_45	MIC_1	GDF15	Male	0.201024477851878	overall	1.07723167881155
BMI	4763_31	Afamin	AFM	Male	0.2430541752193	rectal	1.32017974792754
BMI	4931_59	TF	F3	Male	0.123055829631886	colon	1.33512256950365
BMI	4931_59	TF	F3	Male	0.123055829631886	distal	1.26546709615842
BMI	5006_71	MK13	MAPK13	Male	0.152247518680715	distal	1.31565810431928
BMI	5339_49	calgranulin_B	S100A9	Male	0.182898300944234	rectal	1.3884945463094
BMI	5526_53	GITR	TNFRSF18	Male	0.116966190911129	distal	1.15781985335726
BMI	5599_88	PCYXL	PCYOX1L	Male	0.125381583011261	distal	1.53108984680597
BMI	5756_66	PAPP2	PAPPA2	Male	0.128270933691597	distal	1.25742112831143
BMI	5822_22	GDNF	GDNF	Male	0.128348159948357	proximal	1.17480702492284
BMI	6315_58	PLBL1	PLBD1	Male	0.128036928282521	proximal	1.17023420032965
BMI	6411_58	DB135	DEFB135	Male	0.166304222207161	proximal	1.0864451323593
BMI	6454_38	Rho_GDIa	ARHGDIA	Male	0.124924237381209	distal	1.20114924181146
BMI	6578_29	TNMD	TNMD	Male	0.142327783164342	colon	1.18535629466723
BMI	6966_144	STX1B	STX1B	Male	0.131664444581568	distal	1.20679815564563
