exposure	direction_group	outcome	group
AARSD1	negative	colon	Male
ABHD14B	negative	colon	Male
ACAA1	negative	colon	Male
ACE2	negative	colon	Male
ACP6	NA	colon	Male
ACVRL1	positive	colon	Male
ADAM22	positive	colon	Male
ADAMTS13	negative	colon	Male
ADAMTS15	positive	colon	Male
ADAMTS8	positive	colon	Male
ADH4	negative	colon	Male
AFP	positive	colon	Male
AGR2	negative	colon	Male
AGR3	NA	colon	Male
AGRN	positive	colon	Male
AKR1B1	positive	colon	Male
AKT1S1	NA	colon	Male
ALCAM	positive	colon	Male
ALPP	positive	colon	Male
AMBP	negative	colon	Male
AMN	negative	colon	Male
AMY2A	negative	colon	Male
AMY2B	negative	colon	Male
ANG	negative	colon	Male
ANGPT1	negative	colon	Male
ANGPT2	positive	colon	Male
ANGPTL1	negative	colon	Male
ANGPTL7	negative	colon	Male
ANPEP	negative	colon	Male
ANXA11	NA	colon	Male
ANXA4	NA	colon	Male
AOC3	negative	colon	Male
APBB1IP	positive	colon	Male
APEX1	positive	colon	Male
APLP1	positive	colon	Male
APOM	negative	colon	Male
APP	negative	colon	Male
APRT	negative	colon	Male
ARG1	negative	colon	Male
ARHGAP1	NA	colon	Male
ARHGAP25	NA	colon	Male
ARSA	negative	colon	Male
ASAH2	negative	colon	Male
ASGR1	negative	colon	Male
ATG4A	negative	colon	Male
ATOX1	negative	colon	Male
ATXN10	negative	colon	Male
AXL	negative	colon	Male
B4GALT1	positive	colon	Male
B4GAT1	negative	colon	Male
BACH1	NA	colon	Male
BAG3	negative	colon	Male
BANK1	NA	colon	Male
BAX	NA	colon	Male
BCL2L11	negative	colon	Male
BGN	positive	colon	Male
BID	NA	colon	Male
BIN2	NA	colon	Male
BLMH	positive	colon	Male
BLVRB	NA	colon	Male
BMP4	positive	colon	Male
BOC	positive	colon	Male
BRK1	negative	colon	Male
BST1	negative	colon	Male
BTC	negative	colon	Male
BTN2A1	positive	colon	Male
C19orf12	negative	colon	Male
C1QA	negative	colon	Male
C1QTNF1	positive	colon	Male
C2	NA	colon	Male
CA1	negative	colon	Male
CA11	NA	colon	Male
CA13	negative	colon	Male
CA14	NA	colon	Male
CA2	NA	colon	Male
CA3	positive	colon	Male
CA4	negative	colon	Male
CA5A	negative	colon	Male
CA6	negative	colon	Male
CA9	positive	colon	Male
CALB1	negative	colon	Male
CAMKK1	negative	colon	Male
CANT1	negative	colon	Male
CAPG	NA	colon	Male
CASP10	positive	colon	Male
CASP2	NA	colon	Male
CASP3	NA	colon	Male
CASP8	positive	colon	Male
CBLIF	positive	colon	Male
