exposure	direction_group	outcome	group
AARSD1	negative	overall	Female
ACAA1	positive	overall	Female
ACE2	negative	overall	Female
ACP5	positive	overall	Female
ACP6	NA	overall	Female
ACVRL1	negative	overall	Female
ADA2	negative	overall	Female
ADAM15	positive	overall	Female
ADAM22	negative	overall	Female
ADAMTS13	positive	overall	Female
ADAMTS8	negative	overall	Female
ADGRE5	negative	overall	Female
ADH4	positive	overall	Female
AFP	positive	overall	Female
AGER	negative	overall	Female
AGR2	positive	overall	Female
AGR3	NA	overall	Female
AGRP	positive	overall	Female
AKR1B1	positive	overall	Female
AKT1S1	NA	overall	Female
ALPP	negative	overall	Female
AMBP	negative	overall	Female
AMIGO2	negative	overall	Female
AMY2A	positive	overall	Female
AMY2B	positive	overall	Female
ANG	negative	overall	Female
ANGPT1	negative	overall	Female
ANGPTL1	negative	overall	Female
ANGPTL2	negative	overall	Female
ANGPTL3	negative	overall	Female
ANGPTL7	negative	overall	Female
ANPEP	negative	overall	Female
ANXA11	NA	overall	Female
ANXA3	positive	overall	Female
ANXA4	NA	overall	Female
AOC3	negative	overall	Female
APBB1IP	negative	overall	Female
APOM	negative	overall	Female
APP	negative	overall	Female
APRT	positive	overall	Female
AREG	positive	overall	Female
ARG1	negative	overall	Female
ARHGAP1	NA	overall	Female
ARHGAP25	NA	overall	Female
ARSB	negative	overall	Female
ART3	negative	overall	Female
ASAH2	negative	overall	Female
ATG4A	negative	overall	Female
ATP5IF1	positive	overall	Female
ATXN10	negative	overall	Female
AXL	positive	overall	Female
B4GALT1	negative	overall	Female
B4GAT1	negative	overall	Female
BACH1	NA	overall	Female
BAG3	positive	overall	Female
BANK1	NA	overall	Female
BAX	NA	overall	Female
BCAM	negative	overall	Female
BCAN	negative	overall	Female
BCL2L11	positive	overall	Female
BID	NA	overall	Female
BIN2	NA	overall	Female
BIRC2	positive	overall	Female
BLMH	negative	overall	Female
BLVRB	NA	overall	Female
BMP4	negative	overall	Female
BMP6	negative	overall	Female
BRK1	positive	overall	Female
BSG	negative	overall	Female
BTC	negative	overall	Female
BTN2A1	positive	overall	Female
BTN3A2	negative	overall	Female
C1QA	positive	overall	Female
C1QTNF1	positive	overall	Female
C2	NA	overall	Female
C4BPB	negative	overall	Female
CA1	negative	overall	Female
CA11	NA	overall	Female
CA14	NA	overall	Female
CA2	NA	overall	Female
CA3	negative	overall	Female
CA5A	positive	overall	Female
CALCA	positive	overall	Female
CALCOCO1	negative	overall	Female
CAMKK1	negative	overall	Female
CAPG	NA	overall	Female
CASP10	positive	overall	Female
CASP2	NA	overall	Female
CASP3	NA	overall	Female
CASP8	negative	overall	Female
CBLIF	negative	overall	Female
CC2D1A	NA	overall	Female
CCDC80	negative	overall	Female
CCL11	positive	overall	Female
CCL13	negative	overall	Female
CCL14	positive	overall	Female
CCL15	negative	overall	Female
CCL17	positive	overall	Female
CCL18	negative	overall	Female
CCL2	positive	overall	Female
CCL22	positive	overall	Female
CCL24	positive	overall	Female
CCL25	negative	overall	Female
CCL26	negative	overall	Female
CCL28	negative	overall	Female
CCL3	negative	overall	Female
CCL4	negative	overall	Female
CD109	negative	overall	Female
CD14	negative	overall	Female
CD163	negative	overall	Female
