exposure	direction_group	outcome	group
ACAA1	negative	proximal	Male
ACAN	negative	proximal	Male
ACE2	negative	proximal	Male
ACP5	positive	proximal	Male
ACP6	NA	proximal	Male
ACVRL1	positive	proximal	Male
ADAMTS13	negative	proximal	Male
ADAMTS15	positive	proximal	Male
ADAMTS8	positive	proximal	Male
ADGRB3	positive	proximal	Male
ADH4	negative	proximal	Male
AFP	positive	proximal	Male
AGR3	NA	proximal	Male
AGRN	positive	proximal	Male
AGRP	positive	proximal	Male
AHSP	positive	proximal	Male
AKT1S1	NA	proximal	Male
ALCAM	positive	proximal	Male
ALDH1A1	negative	proximal	Male
ALPP	positive	proximal	Male
AMBP	negative	proximal	Male
AMN	negative	proximal	Male
ANGPT1	negative	proximal	Male
ANPEP	negative	proximal	Male
ANXA11	NA	proximal	Male
ANXA4	NA	proximal	Male
AOC3	negative	proximal	Male
APBB1IP	positive	proximal	Male
APEX1	positive	proximal	Male
APLP1	positive	proximal	Male
APOM	negative	proximal	Male
APP	negative	proximal	Male
APRT	negative	proximal	Male
ARG1	negative	proximal	Male
ARHGAP1	NA	proximal	Male
ARHGAP25	NA	proximal	Male
ARSA	positive	proximal	Male
ART3	negative	proximal	Male
ASAH2	negative	proximal	Male
ASGR1	negative	proximal	Male
ATOX1	negative	proximal	Male
ATP5IF1	positive	proximal	Male
ATXN10	negative	proximal	Male
AXIN1	negative	proximal	Male
B4GAT1	negative	proximal	Male
BACH1	NA	proximal	Male
BAG3	negative	proximal	Male
BANK1	NA	proximal	Male
BAX	NA	proximal	Male
BCL2L11	negative	proximal	Male
BGN	positive	proximal	Male
BID	NA	proximal	Male
BIN2	NA	proximal	Male
BLMH	positive	proximal	Male
BLVRB	NA	proximal	Male
BMP6	positive	proximal	Male
BOC	positive	proximal	Male
BST1	negative	proximal	Male
BST2	negative	proximal	Male
BTC	negative	proximal	Male
BTN2A1	positive	proximal	Male
C2	NA	proximal	Male
C4BPB	positive	proximal	Male
CA11	NA	proximal	Male
CA13	negative	proximal	Male
CA14	NA	proximal	Male
CA2	NA	proximal	Male
CA3	positive	proximal	Male
CA5A	negative	proximal	Male
CA6	negative	proximal	Male
CA9	positive	proximal	Male
CALB1	negative	proximal	Male
CALCA	negative	proximal	Male
CAMKK1	positive	proximal	Male
CANT1	negative	proximal	Male
CAPG	NA	proximal	Male
CASP10	positive	proximal	Male
CASP2	NA	proximal	Male
CASP3	NA	proximal	Male
CASP8	positive	proximal	Male
CBLIF	negative	proximal	Male
CBLN4	positive	proximal	Male
CC2D1A	NA	proximal	Male
CCL11	negative	proximal	Male
CCL13	negative	proximal	Male
CCL15	negative	proximal	Male
CCL16	negative	proximal	Male
CCL18	positive	proximal	Male
CCL19	positive	proximal	Male
CCL2	negative	proximal	Male
CCL20	positive	proximal	Male
CCL23	negative	proximal	Male
CCL24	negative	proximal	Male
CCL25	negative	proximal	Male
CCL28	negative	proximal	Male
CCL3	negative	proximal	Male
CCL5	negative	proximal	Male
CCL7	positive	proximal	Male
CCL8	negative	proximal	Male
CCN4	positive	proximal	Male
CD14	positive	proximal	Male
CD160	negative	proximal	Male
CD177	negative	proximal	Male
CD200	negative	proximal	Male
CD207	negative	proximal	Male
CD22	positive	proximal	Male
CD274	negative	proximal	Male
CD276	negative	proximal	Male
CD28	negative	proximal	Male
CD300LG	positive	proximal	Male
CD302	positive	proximal	Male
CD33	negative	proximal	Male
CD38	NA	proximal	Male
