sequence_id	direction_group	outcome	group
10011_65	negative	overall	Female
10012_5	negative	overall	Female
10014_31	negative	overall	Female
10015_119	NA	overall	Female
10037_98	negative	overall	Female
10041_3	negative	overall	Female
10042_8	NA	overall	Female
10046_55	negative	overall	Female
10047_12	positive	overall	Female
10053_5	NA	overall	Female
10063_10	NA	overall	Female
10064_12	positive	overall	Female
10070_22	negative	overall	Female
10073_22	negative	overall	Female
10074_128	NA	overall	Female
10078_5	NA	overall	Female
10080_9	NA	overall	Female
10085_25	negative	overall	Female
10339_48	negative	overall	Female
10342_55	NA	overall	Female
10361_25	NA	overall	Female
10362_35	NA	overall	Female
10364_6	NA	overall	Female
10391_1	positive	overall	Female
10418_36	positive	overall	Female
10419_1	positive	overall	Female
10424_31	positive	overall	Female
10425_3	NA	overall	Female
10435_2	positive	overall	Female
10440_26	positive	overall	Female
10442_1	positive	overall	Female
10447_18	NA	overall	Female
10454_99	NA	overall	Female
10462_14	NA	overall	Female
10490_3	NA	overall	Female
10506_53	NA	overall	Female
10510_62	NA	overall	Female
10512_13	negative	overall	Female
10531_18	NA	overall	Female
10534_40	NA	overall	Female
10546_2	negative	overall	Female
10550_37	negative	overall	Female
10551_7	positive	overall	Female
10552_88	negative	overall	Female
10553_8	NA	overall	Female
10557_6	positive	overall	Female
10558_26	negative	overall	Female
10560_1	negative	overall	Female
10562_42	NA	overall	Female
10563_13	NA	overall	Female
10565_19	negative	overall	Female
10574_10	negative	overall	Female
10580_14	NA	overall	Female
10605_22	negative	overall	Female
10606_34	negative	overall	Female
10612_18	negative	overall	Female
10613_33	negative	overall	Female
10615_18	negative	overall	Female
10618_190	NA	overall	Female
10620_21	negative	overall	Female
10621_26	negative	overall	Female
10623_19	NA	overall	Female
10637_50	NA	overall	Female
10638_1	NA	overall	Female
10647_18	negative	overall	Female
10667_78	negative	overall	Female
10668_5	NA	overall	Female
10672_75	negative	overall	Female
10693_43	positive	overall	Female
10695_12	NA	overall	Female
10700_10	NA	overall	Female
10704_91	NA	overall	Female
10708_3	negative	overall	Female
10710_23	NA	overall	Female
10713_151	NA	overall	Female
10714_7	negative	overall	Female
10716_35	negative	overall	Female
10722_13	NA	overall	Female
10737_96	NA	overall	Female
10754_113	negative	overall	Female
10760_107	positive	overall	Female
10761_5	NA	overall	Female
10762_2	positive	overall	Female
10767_52	negative	overall	Female
10772_21	negative	overall	Female
10781_19	negative	overall	Female
10785_8	NA	overall	Female
10798_4	NA	overall	Female
10800_15	positive	overall	Female
10809_14	negative	overall	Female
10815_2	positive	overall	Female
10816_150	negative	overall	Female
10818_36	positive	overall	Female
10825_12	negative	overall	Female
10832_24	positive	overall	Female
10833_64	positive	overall	Female
10835_25	negative	overall	Female
10842_7	positive	overall	Female
10848_137	negative	overall	Female
10880_38	positive	overall	Female
10882_12	negative	overall	Female
10890_135	negative	overall	Female
10895_28	negative	overall	Female
10903_50	positive	overall	Female
10908_2	positive	overall	Female
10924_258	negative	overall	Female
10933_107	negative	overall	Female
10938_13	positive	overall	Female
10940_25	negative	overall	Female
10948_14	negative	overall	Female
10956_82	NA	overall	Female
10959_125	negative	overall	Female
10974_20	negative	overall	Female
10975_59	negative	overall	Female
10977_55	positive	overall	Female
10981_56	NA	overall	Female
11067_13	NA	overall	Female
11071_1	NA	overall	Female
11094_104	negative	overall	Female
11098_1	negative	overall	Female
11103_24	positive	overall	Female
11107_25	NA	overall	Female
11109_56	negative	overall	Female
11110_4	negative	overall	Female
11112_18	NA	overall	Female
11116_16	negative	overall	Female
11122_97	NA	overall	Female
11126_102	NA	overall	Female
11128_29	negative	overall	Female
11129_66	negative	overall	Female
11135_5	NA	overall	Female
11137_43	negative	overall	Female
11140_56	negative	overall	Female
11144_10	NA	overall	Female
11146_4	NA	overall	Female
11147_17	NA	overall	Female
11149_3	NA	overall	Female
11152_46	positive	overall	Female
11154_3	NA	overall	Female
11155_16	NA	overall	Female
11163_7	NA	overall	Female
11168_3	NA	overall	Female
11174_8	NA	overall	Female
11178_21	negative	overall	Female
11179_7	NA	overall	Female
11180_17	negative	overall	Female
11192_168	positive	overall	Female
11201_19	NA	overall	Female
11205_10	NA	overall	Female
11208_15	positive	overall	Female
11212_7	negative	overall	Female
11214_40	negative	overall	Female
11215_6	positive	overall	Female
11223_1	negative	overall	Female
11226_16	positive	overall	Female
11237_49	positive	overall	Female
11239_49	positive	overall	Female
11242_33	NA	overall	Female
11243_90	negative	overall	Female
11257_1	positive	overall	Female
11258_41	negative	overall	Female
11260_47	negative	overall	Female
11264_33	positive	overall	Female
11265_8	NA	overall	Female
11266_8	negative	overall	Female
11270_17	NA	overall	Female
11273_176	negative	overall	Female
11275_94	negative	overall	Female
11277_23	positive	overall	Female
11278_4	positive	overall	Female
11280_6	NA	overall	Female
11281_6	negative	overall	Female
11284_24	NA	overall	Female
11286_78	positive	overall	Female
11287_14	positive	overall	Female
11289_31	NA	overall	Female
11293_14	negative	overall	Female
11300_32	positive	overall	Female
11302_237	negative	overall	Female
11303_7	positive	overall	Female
11307_33	positive	overall	Female
11311_79	positive	overall	Female
11312_40	negative	overall	Female
11313_100	positive	overall	Female
11319_106	NA	overall	Female
11320_29	positive	overall	Female
11330_15	negative	overall	Female
11333_82	positive	overall	Female
11336_9	NA	overall	Female
11347_9	negative	overall	Female
11350_30	NA	overall	Female
11352_42	NA	overall	Female
11354_21	NA	overall	Female
11355_10	negative	overall	Female
11360_39	negative	overall	Female
11361_73	NA	overall	Female
11372_2	negative	overall	Female
11378_37	NA	overall	Female
11387_3	negative	overall	Female
11401_181	positive	overall	Female
11402_17	NA	overall	Female
11405_150	negative	overall	Female
11406_82	positive	overall	Female
11407_57	NA	overall	Female
11416_23	negative	overall	Female
11421_10	positive	overall	Female
11422_2	NA	overall	Female
11424_4	positive	overall	Female
11429_80	negative	overall	Female
11431_235	positive	overall	Female
11441_11	positive	overall	Female
11444_49	NA	overall	Female
11448_34	positive	overall	Female
11457_53	positive	overall	Female
11465_4	negative	overall	Female
11468_15	positive	overall	Female
11476_43	NA	overall	Female
11486_26	NA	overall	Female
11490_42	NA	overall	Female
11510_31	negative	overall	Female
11516_7	negative	overall	Female
11530_37	positive	overall	Female
11531_24	negative	overall	Female
11536_9	positive	overall	Female
11537_12	negative	overall	Female
11542_11	positive	overall	Female
11546_7	NA	overall	Female
11549_6	negative	overall	Female
11557_3	positive	overall	Female
11563_51	negative	overall	Female
11565_58	NA	overall	Female
11567_23	NA	overall	Female
11570_94	negative	overall	Female
11572_4	NA	overall	Female
11573_3	NA	overall	Female
11587_5	negative	overall	Female
11591_43	NA	overall	Female
11593_21	NA	overall	Female
11601_26	positive	overall	Female
11608_5	positive	overall	Female
11617_1	NA	overall	Female
11636_33	NA	overall	Female
11638_42	negative	overall	Female
11643_73	positive	overall	Female
11646_4	negative	overall	Female
11654_77	NA	overall	Female
11657_86	NA	overall	Female
11659_31	positive	overall	Female
11664_32	NA	overall	Female
11667_29	NA	overall	Female
11671_19	NA	overall	Female
11672_17	negative	overall	Female
11678_105	negative	overall	Female
11683_19	NA	overall	Female
11692_21	negative	overall	Female
11696_7	negative	overall	Female
11709_29	negative	overall	Female
11716_28	NA	overall	Female
11837_7	NA	overall	Female
11872_9	negative	overall	Female
11910_27	positive	overall	Female
11952_1	negative	overall	Female
11955_1	negative	overall	Female
11967_23	negative	overall	Female
11969_5	negative	overall	Female
11988_24	negative	overall	Female
12001_7	negative	overall	Female
12008_3	positive	overall	Female
12020_39	NA	overall	Female
12034_28	NA	overall	Female
12046_51	negative	overall	Female
12329_21	negative	overall	Female
12333_87	positive	overall	Female
12334_25	negative	overall	Female
12338_27	negative	overall	Female
12340_17	NA	overall	Female
12341_8	positive	overall	Female
12343_14	NA	overall	Female
12350_86	negative	overall	Female
12357_41	NA	overall	Female
12361_102	negative	overall	Female
12363_70	positive	overall	Female
12366_16	positive	overall	Female
12376_85	positive	overall	Female
12384_92	positive	overall	Female
12385_4	negative	overall	Female
12391_27	negative	overall	Female
12392_30	positive	overall	Female
12400_25	NA	overall	Female
12401_3	positive	overall	Female
12408_333	negative	overall	Female
12411_60	positive	overall	Female
12417_46	negative	overall	Female
12420_10	negative	overall	Female
12423_38	NA	overall	Female
12425_104	negative	overall	Female
12428_2	NA	overall	Female
12430_78	NA	overall	Female
12431_13	positive	overall	Female
12436_84	positive	overall	Female
12438_127	NA	overall	Female
12439_67	NA	overall	Female
12444_39	NA	overall	Female
12449_16	NA	overall	Female
12456_5	negative	overall	Female
12457_10	positive	overall	Female
12459_13	positive	overall	Female
12461_8	positive	overall	Female
12462_20	NA	overall	Female
12471_47	positive	overall	Female
12478_15	NA	overall	Female
12486_8	positive	overall	Female
12488_9	negative	overall	Female
12494_99	positive	overall	Female
12497_29	NA	overall	Female
12503_5	negative	overall	Female
12504_26	negative	overall	Female
12508_9	positive	overall	Female
12513_8	NA	overall	Female
12515_45	negative	overall	Female
12522_6	negative	overall	Female
12527_50	negative	overall	Female
12529_32	positive	overall	Female
12538_19	NA	overall	Female
12540_25	negative	overall	Female
12549_33	positive	overall	Female
12553_5	NA	overall	Female
12556_7	NA	overall	Female
12558_3	positive	overall	Female
12560_9	positive	overall	Female
12563_2	NA	overall	Female
12569_25	NA	overall	Female
12571_14	negative	overall	Female
12572_236	positive	overall	Female
12577_100	NA	overall	Female
12583_77	NA	overall	Female
12585_39	negative	overall	Female
12591_27	NA	overall	Female
12593_33	positive	overall	Female
12594_5	negative	overall	Female
12603_87	positive	overall	Female
12604_16	negative	overall	Female
12605_1	positive	overall	Female
12616_45	positive	overall	Female
12621_55	negative	overall	Female
12623_84	negative	overall	Female
12633_3	positive	overall	Female
12634_79	negative	overall	Female
12635_9	negative	overall	Female
12636_113	NA	overall	Female
12637_7	NA	overall	Female
12647_52	NA	overall	Female
12650_43	negative	overall	Female
12651_21	negative	overall	Female
12652_37	NA	overall	Female
12653_13	positive	overall	Female
12657_2	negative	overall	Female
12659_13	NA	overall	Female
12661_44	NA	overall	Female
12662_82	NA	overall	Female
12664_19	NA	overall	Female
12667_2	negative	overall	Female
12668_7	negative	overall	Female
12669_30	NA	overall	Female
12671_35	negative	overall	Female
12675_14	positive	overall	Female
12676_1	positive	overall	Female
12681_63	positive	overall	Female
12683_156	NA	overall	Female
12684_5	NA	overall	Female
12685_57	negative	overall	Female
12686_15	NA	overall	Female
12689_56	NA	overall	Female
