sequence_id	direction_group	outcome	group
10008_43	positive	rectal	Female
10011_65	negative	rectal	Female
10014_31	negative	rectal	Female
10015_119	NA	rectal	Female
10037_98	negative	rectal	Female
10042_8	NA	rectal	Female
10046_55	negative	rectal	Female
10047_12	positive	rectal	Female
10053_5	NA	rectal	Female
10063_10	NA	rectal	Female
10064_12	positive	rectal	Female
10073_22	negative	rectal	Female
10074_128	NA	rectal	Female
10075_75	positive	rectal	Female
10078_5	NA	rectal	Female
10080_9	NA	rectal	Female
10082_251	positive	rectal	Female
10085_25	negative	rectal	Female
10088_37	positive	rectal	Female
10089_7	positive	rectal	Female
10342_55	NA	rectal	Female
10361_25	NA	rectal	Female
10362_35	NA	rectal	Female
10364_6	NA	rectal	Female
10372_18	positive	rectal	Female
10391_1	positive	rectal	Female
10418_36	positive	rectal	Female
10425_3	NA	rectal	Female
10440_26	positive	rectal	Female
10447_18	NA	rectal	Female
10454_99	NA	rectal	Female
10462_14	NA	rectal	Female
10490_3	NA	rectal	Female
10506_53	NA	rectal	Female
10510_62	NA	rectal	Female
10511_10	negative	rectal	Female
10514_5	positive	rectal	Female
10531_18	NA	rectal	Female
10534_40	NA	rectal	Female
10546_2	negative	rectal	Female
10551_7	positive	rectal	Female
10552_88	negative	rectal	Female
10553_8	NA	rectal	Female
10558_26	negative	rectal	Female
10562_42	NA	rectal	Female
10563_13	NA	rectal	Female
10565_19	negative	rectal	Female
10572_65	positive	rectal	Female
10574_10	negative	rectal	Female
10580_14	NA	rectal	Female
10600_24	positive	rectal	Female
10603_1	positive	rectal	Female
10606_34	negative	rectal	Female
10612_18	negative	rectal	Female
10613_33	negative	rectal	Female
10618_190	NA	rectal	Female
10620_21	negative	rectal	Female
10621_26	negative	rectal	Female
10623_19	NA	rectal	Female
10627_87	positive	rectal	Female
10630_5	positive	rectal	Female
10637_50	NA	rectal	Female
10638_1	NA	rectal	Female
10647_18	negative	rectal	Female
10667_78	negative	rectal	Female
10668_5	NA	rectal	Female
10695_12	NA	rectal	Female
10700_10	NA	rectal	Female
10704_91	NA	rectal	Female
10708_3	negative	rectal	Female
10710_23	NA	rectal	Female
10713_151	NA	rectal	Female
10714_7	negative	rectal	Female
10716_35	negative	rectal	Female
10722_13	NA	rectal	Female
10737_96	NA	rectal	Female
10752_8	positive	rectal	Female
10754_113	negative	rectal	Female
10760_107	positive	rectal	Female
10761_5	NA	rectal	Female
10762_2	positive	rectal	Female
10767_52	negative	rectal	Female
10772_21	negative	rectal	Female
10781_19	negative	rectal	Female
10785_8	NA	rectal	Female
10798_4	NA	rectal	Female
10800_15	positive	rectal	Female
10809_14	negative	rectal	Female
10815_2	positive	rectal	Female
10816_150	negative	rectal	Female
10818_36	positive	rectal	Female
10825_12	negative	rectal	Female
10832_24	positive	rectal	Female
10833_64	positive	rectal	Female
10835_25	negative	rectal	Female
10842_7	positive	rectal	Female
10852_114	positive	rectal	Female
10866_60	positive	rectal	Female
10880_38	negative	rectal	Female
10885_36	positive	rectal	Female
10890_135	negative	rectal	Female
10892_8	negative	rectal	Female
10900_272	positive	rectal	Female
10903_50	positive	rectal	Female
10908_2	positive	rectal	Female
10924_258	negative	rectal	Female
10933_107	negative	rectal	Female
10938_13	positive	rectal	Female
10939_16	positive	rectal	Female
10940_25	negative	rectal	Female
10948_14	negative	rectal	Female
10956_82	NA	rectal	Female
10974_20	negative	rectal	Female
10977_55	positive	rectal	Female
10981_56	NA	rectal	Female
11067_13	NA	rectal	Female
11071_1	NA	rectal	Female
11096_57	negative	rectal	Female
11098_1	negative	rectal	Female
11103_24	positive	rectal	Female
11107_25	NA	rectal	Female
11112_18	NA	rectal	Female
11117_2	negative	rectal	Female
11120_49	negative	rectal	Female
11122_97	NA	rectal	Female
11126_102	NA	rectal	Female
11128_29	negative	rectal	Female
11129_66	negative	rectal	Female
11135_5	NA	rectal	Female
11140_56	negative	rectal	Female
11144_10	NA	rectal	Female
11145_72	negative	rectal	Female
11146_4	NA	rectal	Female
11147_17	NA	rectal	Female
11149_3	NA	rectal	Female
11152_46	positive	rectal	Female
11154_3	NA	rectal	Female
11155_16	NA	rectal	Female
11158_40	negative	rectal	Female
11163_7	NA	rectal	Female
11168_3	NA	rectal	Female
11174_8	NA	rectal	Female
