sequence_id	direction_group	outcome	group
10000_28	negative	overall	Male
10008_43	positive	overall	Male
10011_65	negative	overall	Male
10012_5	negative	overall	Male
10014_31	negative	overall	Male
10015_119	NA	overall	Male
10023_32	negative	overall	Male
10024_44	negative	overall	Male
10035_6	negative	overall	Male
10036_201	positive	overall	Male
10037_98	positive	overall	Male
10041_3	positive	overall	Male
10042_8	NA	overall	Male
10046_55	negative	overall	Male
10047_12	negative	overall	Male
10053_5	NA	overall	Male
10063_10	NA	overall	Male
10064_12	negative	overall	Male
10074_128	NA	overall	Male
10078_5	NA	overall	Male
10080_9	NA	overall	Male
10082_251	positive	overall	Male
10085_25	positive	overall	Male
10088_37	positive	overall	Male
10342_55	NA	overall	Male
10344_334	negative	overall	Male
10346_5	negative	overall	Male
10356_21	negative	overall	Male
10361_25	NA	overall	Male
10362_35	NA	overall	Male
10363_13	negative	overall	Male
10364_6	NA	overall	Male
10366_11	negative	overall	Male
10372_18	positive	overall	Male
10419_1	positive	overall	Male
10425_3	NA	overall	Male
10435_2	positive	overall	Male
10442_1	negative	overall	Male
10447_18	NA	overall	Male
10449_31	negative	overall	Male
10453_7	negative	overall	Male
10454_99	NA	overall	Male
10462_14	NA	overall	Male
10464_6	positive	overall	Male
10490_3	NA	overall	Male
10499_1	negative	overall	Male
10506_53	NA	overall	Male
10510_62	NA	overall	Male
10512_13	negative	overall	Male
10514_5	negative	overall	Male
10527_22	negative	overall	Male
10531_18	NA	overall	Male
10534_40	NA	overall	Male
10539_30	negative	overall	Male
10546_2	negative	overall	Male
10550_37	negative	overall	Male
10553_8	NA	overall	Male
10557_6	positive	overall	Male
10558_26	positive	overall	Male
10562_42	NA	overall	Male
10563_13	NA	overall	Male
10580_14	NA	overall	Male
10582_36	negative	overall	Male
10584_7	positive	overall	Male
10600_24	negative	overall	Male
10606_34	negative	overall	Male
10608_9	positive	overall	Male
10612_18	negative	overall	Male
10613_33	positive	overall	Male
10618_190	NA	overall	Male
10620_21	negative	overall	Male
10623_19	NA	overall	Male
10627_87	negative	overall	Male
10630_5	negative	overall	Male
10637_50	NA	overall	Male
10638_1	NA	overall	Male
10667_78	negative	overall	Male
10668_5	NA	overall	Male
10675_223	negative	overall	Male
10693_43	negative	overall	Male
10695_12	NA	overall	Male
10700_10	NA	overall	Male
10703_203	negative	overall	Male
10704_91	NA	overall	Male
10708_3	negative	overall	Male
10710_23	NA	overall	Male
10713_151	NA	overall	Male
10714_7	negative	overall	Male
10722_13	NA	overall	Male
10734_339	negative	overall	Male
10737_96	NA	overall	Male
10748_216	negative	overall	Male
10752_8	negative	overall	Male
10754_113	negative	overall	Male
10761_5	NA	overall	Male
10762_2	positive	overall	Male
10767_52	negative	overall	Male
10781_19	negative	overall	Male
10785_8	NA	overall	Male
10798_4	NA	overall	Male
10800_15	positive	overall	Male
10814_7	negative	overall	Male
10816_150	negative	overall	Male
10818_36	negative	overall	Male
10825_12	negative	overall	Male
10832_24	negative	overall	Male
10833_64	positive	overall	Male
10835_25	positive	overall	Male
10842_7	negative	overall	Male
10847_1	negative	overall	Male
10851_77	negative	overall	Male
10866_60	negative	overall	Male
10882_12	negative	overall	Male
10885_36	negative	overall	Male
10889_2	negative	overall	Male
10890_135	negative	overall	Male
10892_8	negative	overall	Male
10910_6	negative	overall	Male
10916_44	positive	overall	Male
10933_107	negative	overall	Male
10938_13	negative	overall	Male
10939_16	negative	overall	Male
10940_25	positive	overall	Male
10945_11	negative	overall	Male
10953_14	negative	overall	Male
10956_82	NA	overall	Male
10959_125	negative	overall	Male
10961_15	negative	overall	Male
10975_59	negative	overall	Male
10977_55	positive	overall	Male
10981_56	NA	overall	Male
11067_13	NA	overall	Male
11071_1	NA	overall	Male
11094_104	negative	overall	Male
11096_57	positive	overall	Male
11098_1	positive	overall	Male
11107_25	NA	overall	Male
11109_56	negative	overall	Male
11112_18	NA	overall	Male
11116_16	positive	overall	Male
11122_97	NA	overall	Male
11126_102	NA	overall	Male
11128_29	positive	overall	Male
11129_66	negative	overall	Male
11130_158	negative	overall	Male
11134_30	positive	overall	Male
11135_5	NA	overall	Male
11137_43	negative	overall	Male
11140_56	positive	overall	Male
11144_10	NA	overall	Male
11145_72	negative	overall	Male
11146_4	NA	overall	Male
11147_17	NA	overall	Male
11149_3	NA	overall	Male
11152_46	negative	overall	Male
11154_3	NA	overall	Male
11155_16	NA	overall	Male
11163_7	NA	overall	Male
11168_3	NA	overall	Male
11174_8	NA	overall	Male
11177_16	negative	overall	Male
11178_21	negative	overall	Male
11179_7	NA	overall	Male
11180_17	negative	overall	Male
11185_145	negative	overall	Male
11187_11	positive	overall	Male
11192_168	positive	overall	Male
11196_31	positive	overall	Male
11201_19	NA	overall	Male
11205_10	NA	overall	Male
11208_15	negative	overall	Male
11211_7	positive	overall	Male
11212_7	negative	overall	Male
11214_40	negative	overall	Male
11215_6	positive	overall	Male
11218_84	negative	overall	Male
11219_95	negative	overall	Male
11228_37	negative	overall	Male
11229_16	negative	overall	Male
11237_49	positive	overall	Male
11239_49	positive	overall	Male
11241_8	negative	overall	Male
11242_33	NA	overall	Male
11248_43	negative	overall	Male
11252_30	negative	overall	Male
11257_1	positive	overall	Male
11258_41	positive	overall	Male
11260_47	negative	overall	Male
11263_57	negative	overall	Male
11264_33	negative	overall	Male
11265_8	NA	overall	Male
11270_17	NA	overall	Male
11273_176	positive	overall	Male
11275_94	negative	overall	Male
11280_6	NA	overall	Male
11281_6	negative	overall	Male
11283_13	negative	overall	Male
11284_24	NA	overall	Male
11287_14	positive	overall	Male
11289_31	NA	overall	Male
11293_14	negative	overall	Male
11302_237	negative	overall	Male
11303_7	negative	overall	Male
11308_8	positive	overall	Male
11311_79	negative	overall	Male
11312_40	negative	overall	Male
11315_148	negative	overall	Male
11319_106	NA	overall	Male
11320_29	negative	overall	Male
11325_8	negative	overall	Male
11333_82	negative	overall	Male
11336_9	NA	overall	Male
11347_9	negative	overall	Male
11350_30	NA	overall	Male
11352_42	NA	overall	Male
11354_21	NA	overall	Male
11358_15	positive	overall	Male
11360_39	negative	overall	Male
11361_73	NA	overall	Male
11370_20	negative	overall	Male
11372_2	negative	overall	Male
11377_19	negative	overall	Male
11378_37	NA	overall	Male
11380_84	negative	overall	Male
11383_41	positive	overall	Male
11388_75	positive	overall	Male
11390_24	positive	overall	Male
11396_39	negative	overall	Male
11401_181	negative	overall	Male
11402_17	NA	overall	Male
11406_82	negative	overall	Male
11407_57	NA	overall	Male
11421_10	positive	overall	Male
11422_2	NA	overall	Male
11425_31	negative	overall	Male
11431_235	positive	overall	Male
11433_11	negative	overall	Male
11441_11	positive	overall	Male
11444_49	NA	overall	Male
11448_34	negative	overall	Male
11454_87	positive	overall	Male
11456_2	negative	overall	Male
11459_81	negative	overall	Male
11464_9	negative	overall	Male
11465_4	negative	overall	Male
11476_43	NA	overall	Male
11486_26	NA	overall	Male
11490_42	NA	overall	Male
11510_31	negative	overall	Male
11513_92	negative	overall	Male
11514_196	negative	overall	Male
11516_7	positive	overall	Male
11534_6	positive	overall	Male
11546_7	NA	overall	Male
11563_51	negative	overall	Male
11565_58	NA	overall	Male
11567_23	NA	overall	Male
11568_2	positive	overall	Male
11570_94	negative	overall	Male
11571_75	negative	overall	Male
11572_4	NA	overall	Male
11573_3	NA	overall	Male
11587_5	negative	overall	Male
11591_43	NA	overall	Male
11593_21	NA	overall	Male
11601_26	negative	overall	Male
11608_5	positive	overall	Male
11617_1	NA	overall	Male
11636_33	NA	overall	Male
11643_73	positive	overall	Male
11646_4	negative	overall	Male
11647_6	negative	overall	Male
